eval_time,anc_time,anc_state,eval_state,proportion,hpdl,hpdu
2022-09-17,2022-09-03,Baja California,San Diego,0.006584062196307093,0.0,0.0
2022-09-17,2022-09-03,Rest of World,Baja California,0.038338658146964855,0.0,0.0
2022-09-17,2022-09-03,United States,Baja California,0.14164004259850904,0.0,1.0
2022-09-17,2022-09-03,Mexico,Baja California,0.009584664536741214,0.0,0.0
2022-09-17,2022-09-03,Los Angeles,Baja California,0.2854100106496273,0.0,1.0
2022-09-17,2022-09-03,San Diego,Baja California,0.5218317358892439,0.0,1.0
2022-09-17,2022-09-03,Baja California,Baja California,0.003194888178913738,0.0,0.0
2022-09-03,2022-08-20,Rest of World,Rest of World,0.7734810339039947,0.0,1.0
2022-09-03,2022-08-20,United States,Rest of World,0.085918093319906,0.0,0.5
2022-09-03,2022-08-20,Mexico,Rest of World,0.008056394763343404,0.0,0.0
2022-09-03,2022-08-20,Los Angeles,Rest of World,0.10568982880161128,0.0,1.0
2022-09-03,2022-08-20,San Diego,Rest of World,0.02685464921114468,0.0,0.0
2022-09-03,2022-08-20,Baja California,Rest of World,0.0,0.0,0.0
2022-09-03,2022-08-20,Rest of World,United States,0.11178403911581795,0.0,0.3333333333333333
2022-09-03,2022-08-20,United States,United States,0.5517931768431434,0.25,1.0
2022-09-03,2022-08-20,Mexico,United States,0.0011611306747882364,0.0,0.0
2022-09-03,2022-08-20,Los Angeles,United States,0.20640410000836387,0.0,0.5
2022-09-03,2022-08-20,San Diego,United States,0.12560205173463004,0.0,0.4
2022-09-03,2022-08-20,Baja California,United States,0.003255501623256453,0.0,0.0
2022-09-03,2022-08-20,Rest of World,Mexico,0.05594825594825595,0.0,0.5
2022-09-03,2022-08-20,United States,Mexico,0.16105336105336104,0.0,0.5
2022-09-03,2022-08-20,Mexico,Mexico,0.25441210441210443,0.0,1.0
2022-09-03,2022-08-20,Los Angeles,Mexico,0.2106837606837607,0.0,0.6666666666666666
2022-09-03,2022-08-20,San Diego,Mexico,0.2871332871332872,0.0,1.0
2022-09-03,2022-08-20,Baja California,Mexico,0.030769230769230767,0.0,0.3333333333333333
2022-09-03,2022-08-20,Rest of World,Los Angeles,0.027445800276560448,0.0,0.07407407407407407
2022-09-03,2022-08-20,United States,Los Angeles,0.11043821852853301,0.037037037037037035,0.19230769230769232
2022-09-03,2022-08-20,Mexico,Los Angeles,0.0010038012661227685,0.0,0.0
2022-09-03,2022-08-20,Los Angeles,Los Angeles,0.8007634727538794,0.7,0.92
2022-09-03,2022-08-20,San Diego,Los Angeles,0.05853116599440362,0.0,0.125
2022-09-03,2022-08-20,Baja California,Los Angeles,0.0018175411805007357,0.0,0.0
2022-09-03,2022-08-20,Rest of World,San Diego,0.09864103532912737,0.0,0.3333333333333333
2022-09-03,2022-08-20,United States,San Diego,0.21903424345914196,0.0,0.5714285714285714
2022-09-03,2022-08-20,Mexico,San Diego,0.003707552032991816,0.0,0.0
2022-09-03,2022-08-20,Los Angeles,San Diego,0.5194668998119608,0.0,1.0
2022-09-03,2022-08-20,San Diego,San Diego,0.15130800074981401,0.0,0.5
2022-09-03,2022-08-20,Baja California,San Diego,0.007842268616964151,0.0,0.0
2022-09-03,2022-08-20,Rest of World,Baja California,0.03636363636363636,0.0,0.0
2022-09-03,2022-08-20,United States,Baja California,0.09898989898989899,0.0,1.0
2022-09-03,2022-08-20,Mexico,Baja California,0.014141414141414142,0.0,0.0
2022-09-03,2022-08-20,Los Angeles,Baja California,0.5585858585858586,0.0,1.0
2022-09-03,2022-08-20,San Diego,Baja California,0.2696969696969697,0.0,1.0
2022-09-03,2022-08-20,Baja California,Baja California,0.022222222222222223,0.0,0.0
2022-08-20,2022-08-06,Rest of World,Rest of World,0.8996085011185682,0.5,1.0
2022-08-20,2022-08-06,United States,Rest of World,0.03796420581655481,0.0,0.3333333333333333
2022-08-20,2022-08-06,Mexico,Rest of World,0.004697986577181208,0.0,0.0
2022-08-20,2022-08-06,Los Angeles,Rest of World,0.04631991051454139,0.0,0.3333333333333333
2022-08-20,2022-08-06,San Diego,Rest of World,0.011241610738255034,0.0,0.0
2022-08-20,2022-08-06,Baja California,Rest of World,0.00016778523489932885,0.0,0.0
2022-08-20,2022-08-06,Rest of World,United States,0.034113819175042547,0.0,0.125
2022-08-20,2022-08-06,United States,United States,0.6826380597029629,0.4444444444444444,0.9
2022-08-20,2022-08-06,Mexico,United States,0.0007783892027729469,0.0,0.0
2022-08-20,2022-08-06,Los Angeles,United States,0.22935955120706056,0.0,0.4166666666666667
2022-08-20,2022-08-06,San Diego,United States,0.050948064384488616,0.0,0.18181818181818182
2022-08-20,2022-08-06,Baja California,United States,0.0021621163276726234,0.0,0.0
2022-08-20,2022-08-06,Rest of World,Mexico,0.04375763125763127,0.0,0.3333333333333333
2022-08-20,2022-08-06,United States,Mexico,0.14911718398560506,0.0,0.5
2022-08-20,2022-08-06,Mexico,Mexico,0.27785409035409037,0.0,0.75
2022-08-20,2022-08-06,Los Angeles,Mexico,0.33403621232568603,0.0,0.75
2022-08-20,2022-08-06,San Diego,Mexico,0.1659043441938179,0.0,0.5
2022-08-20,2022-08-06,Baja California,Mexico,0.029330537883169458,0.0,0.25
2022-08-20,2022-08-06,Rest of World,Los Angeles,0.01253333603165444,0.0,0.0425531914893617
2022-08-20,2022-08-06,United States,Los Angeles,0.1316297760940409,0.06666666666666667,0.21052631578947367
2022-08-20,2022-08-06,Mexico,Los Angeles,0.0008750729971391209,0.0,0.0
2022-08-20,2022-08-06,Los Angeles,Los Angeles,0.8194715928450652,0.7380952380952381,0.9047619047619048
2022-08-20,2022-08-06,San Diego,Los Angeles,0.0339465931526058,0.0,0.07692307692307693
2022-08-20,2022-08-06,Baja California,Los Angeles,0.0015436288794947498,0.0,0.021739130434782608
2022-08-20,2022-08-06,Rest of World,San Diego,0.04829481950606568,0.0,0.2
2022-08-20,2022-08-06,United States,San Diego,0.3519885869999209,0.0,0.6666666666666666
2022-08-20,2022-08-06,Mexico,San Diego,0.003972507986498659,0.0,0.0
2022-08-20,2022-08-06,Los Angeles,San Diego,0.4173590051925547,0.0,0.7272727272727273
2022-08-20,2022-08-06,San Diego,San Diego,0.17130834995375255,0.0,0.4444444444444444
2022-08-20,2022-08-06,Baja California,San Diego,0.007076730361207376,0.0,0.0
2022-08-20,2022-08-06,Rest of World,Baja California,0.013205282112845138,0.0,0.0
2022-08-20,2022-08-06,United States,Baja California,0.4813325330132053,0.0,1.0
2022-08-20,2022-08-06,Mexico,Baja California,0.0172468987595038,0.0,0.0
2022-08-20,2022-08-06,Los Angeles,Baja California,0.3217286914765906,0.0,1.0
2022-08-20,2022-08-06,San Diego,Baja California,0.12713085234093638,0.0,1.0
2022-08-20,2022-08-06,Baja California,Baja California,0.039355742296918766,0.0,0.3333333333333333
2022-08-06,2022-07-23,Rest of World,Rest of World,0.7845715780147522,0.5,1.0
2022-08-06,2022-07-23,United States,Rest of World,0.1487889753525261,0.0,0.5
2022-08-06,2022-07-23,Mexico,Rest of World,0.0055993211003298425,0.0,0.0
2022-08-06,2022-07-23,Los Angeles,Rest of World,0.038144874627726005,0.0,0.3333333333333333
2022-08-06,2022-07-23,San Diego,Rest of World,0.02188650847023409,0.0,0.25
2022-08-06,2022-07-23,Baja California,Rest of World,0.0010087424344317419,0.0,0.0
2022-08-06,2022-07-23,Rest of World,United States,0.01671736724085008,0.0,0.08333333333333333
2022-08-06,2022-07-23,United States,United States,0.6821024307152482,0.5,0.9285714285714286
2022-08-06,2022-07-23,Mexico,United States,0.0009394313242573329,0.0,0.0
2022-08-06,2022-07-23,Los Angeles,United States,0.1619851409850287,0.0,0.34782608695652173
2022-08-06,2022-07-23,San Diego,United States,0.13661684149324807,0.0,0.25
2022-08-06,2022-07-23,Baja California,United States,0.0016387882413677213,0.0,0.0
2022-08-06,2022-07-23,Rest of World,Mexico,0.04077070312913085,0.0,0.25
2022-08-06,2022-07-23,United States,Mexico,0.09140863762782486,0.0,0.375
2022-08-06,2022-07-23,Mexico,Mexico,0.3460738536021681,0.0,0.75
2022-08-06,2022-07-23,Los Angeles,Mexico,0.3835341854828863,0.0,0.75
2022-08-06,2022-07-23,San Diego,Mexico,0.10664689149032923,0.0,0.4
2022-08-06,2022-07-23,Baja California,Mexico,0.03156572866766071,0.0,0.2
2022-08-06,2022-07-23,Rest of World,Los Angeles,0.02256640217004571,0.0,0.05084745762711865
2022-08-06,2022-07-23,United States,Los Angeles,0.10352898486238782,0.03389830508474576,0.1746031746031746
