date_range_start,California,Arizona,Texas,Nevada,Washington,Florida,Colorado,Illinois,Utah,New York,Virginia,Oregon,Georgia,Michigan,Ohio,North Carolina,Minnesota,Missouri,Pennsylvania,New Jersey,Tennessee,Hawaii,Indiana,Wisconsin,Idaho,Maryland,New Mexico,Massachusetts,Oklahoma,Kansas,Iowa,Louisiana,Alabama,South Carolina,Nebraska,Arkansas,Connecticut,Kentucky,Mississippi,Montana,Alaska,New Hampshire,South Dakota,Wyoming,North Dakota,Rhode Island,District of Columbia,Maine,Delaware,West Virginia,Vermont,Puerto Rico,Guam,U.S. Virgin Islands,Northern Mariana Islands,American Samoa
2019-01-07,230262.528892,16813.560608,20813.039544,9756.815551,9081.798273,9216.801453,7338.002769,8170.524409000001,4789.811701,6775.488174,5290.449703,4362.300659,3217.583435,4156.982795,4640.745306,2809.760413,4106.356531,4050.105033,3633.844232,3462.277287,2877.262139,2731.0082460000003,2694.444868,2452.563607,2196.619471,3391.962983,2162.868658,3802.598624,1541.289965,2252.870947,2913.825559,1099.716033,1510.351664,1254.407542,995.650829,978.7753730000001,1344.409864,1040.651976,812.8335930000001,604.70318,534.388876,458.44939,579.390039,458.449388,489.3877,725.64383,1102.5286,382.509919,129.37836199999998,191.25495800000002,163.129228,78.752044,33.750874,0.0,0.0,22.500584
2019-01-14,233760.096569,20107.565340999998,21653.199559,9803.332422000001,10455.933639,10298.507941,7845.528133,8326.392295,6073.772417,8795.807263,4860.162943,4742.8091890000005,3411.845851,4164.627213,4136.004492,4250.495911,5690.2262120000005,3620.79274,4158.902643,4264.807308,2856.562217,2959.60453,3034.023995,4699.874878,1705.922947,3285.905261,1954.941897,3592.169859,2596.09414,3076.958227,1891.971558,1597.156033,1539.910292,1554.221716,1396.795937,1262.268487,1600.0182949999999,907.344902,1305.202776,764.230583,706.984854,686.948833,443.654452,549.55905,460.82818,598.217934,523.79846,309.126971,148.838913,148.838914,203.222363,160.288062,48.658875,0.0,0.0,0.0
2019-01-21,254186.27769000002,19319.667557,20264.123175,9080.660832,10139.006277,10416.787259,6919.524443,6961.191629,5219.504841,6205.627453,5116.725837,4580.608521,4094.49181,5350.061934,5191.72675,3797.266172,5175.059972999999,5083.392089,4752.832762,4469.496115,2772.254334,3663.931175,2772.2542949999997,4575.052878,2077.8017999999997,3233.3707289999998,2183.358598,3083.368969,1772.24269,2913.9225969999998,2086.135235,1236.125425,1547.24013,1819.465491,2150.024909,1025.011847,1138.90205,1333.348752,827.787351,522.228254,961.122227,580.562277,522.228263,313.892519,441.671767,611.118189,536.1173,341.670616,388.89339,322.225948,255.558509,91.667723,33.333717,0.0,0.0,0.0
2019-01-28,209213.05374499998,14926.174372000001,16550.740374999998,6602.499615,5781.3185379999995,9866.885271000001,6844.023515,6424.5348030000005,4034.719608,5595.726476,4238.108184,3544.044795,3783.026367,3477.94365,4222.853948,3734.7216280000002,5041.492801,2753.372002,3228.792638,2987.268791,2491.509293,1939.8179,2410.153915,3221.165578,1934.733224,2722.863755,1446.60078,2318.62905,1835.5813369999998,2145.748842,933.04482,1248.297016,1845.750769,1405.923104,1400.838392,737.283364,851.689416,742.368085,681.351522,366.09933,455.08180999999996,627.962034,376.268757,88.982474,325.421627,327.96398,498.30185,254.235637,274.57449,282.201567,147.456677,83.897764,20.338852,0.0,0.0,0.0
2019-02-04,231156.330816,17898.672831,16945.627435000002,7756.09169,8200.330026,10452.515394,7257.615167,8804.700877,4191.853744,5689.866775,4780.727898,4135.032628,4070.463073,4132.449751,4703.244527,4034.304039,5294.7014469999995,3083.840683,3398.939968,3618.47633,2706.754623,2575.03281,2068.807669,2668.012918,1518.675322,3169.072466,1438.609137,2518.211603,2166.9534009999998,2275.430158,1738.211681,1213.907134,1807.946795,1459.27131,2373.575857,1250.066074,1479.933591,785.165464,712.847591,689.602569,563.046274,769.668785,694.7681269999999,165.297991,410.66219800000005,485.562863,441.65558,147.218524,219.536394,198.874146,113.642369,129.139054,30.993374,30.993373,0.0,0.0
2019-02-11,269489.674607,22751.541103,16321.12741,9168.610118,11316.473902,10019.849114,8454.412731999999,6846.809155,4598.7998609999995,6886.340368,7302.735872,3810.8105859999996,4040.091787,4250.925026,5168.049623,3921.4981239999997,4735.841425,3926.7689539999997,4090.164694,3528.82121,2174.217675,2851.51952,2002.915687,2909.498539,1989.7386569999999,3151.956808,1241.2806349999998,2854.154864,1789.447033,3273.18596,2045.082333,1135.864028,1757.822066,1573.3429939999999,1607.603372,1272.905621,1325.613911,756.364206,880.228735,737.916302,772.176731,801.166273,983.009948,181.843662,930.3016389999999,606.145543,745.8226,397.947714,252.999876,226.64571899999999,137.0416,137.041597,21.083323,0.0,0.0,0.0
2019-02-18,270673.024447,22616.665752,20492.314759,9286.295121000001,15072.392148,10637.910119,8152.769371,8252.390556,4975.666439,12705.719833,5993.416403,4418.327165000001,4345.630794,6074.19005,5783.404522,4386.017694,5794.174426,3634.821349,5145.291459,3694.055459,1860.490007,3152.87088,3521.737911,3909.452152,2649.380883,2374.7498809999997,2191.662636,4528.718065,2547.067331,2711.307345,2267.051493,1472.775725,1790.486013,1575.089228,1537.394759,1039.289642,1251.994025,1381.23207,869.664652,729.656717,1109.293568,945.053521,568.109114,333.865057,799.66067,858.894819,573.494,764.6586940000001,245.013876,207.319434,207.31944099999998,21.539682,53.849205,0.0,0.0,0.0
2019-02-25,221280.40140099998,17742.570964000002,16228.929633,7825.694024,8244.411756,8778.638311,6737.98981,6644.139421,4882.636174,5344.6698584999995,4658.838758,3621.669547,4028.3553635,4028.355366,3612.0438045,3660.17234,5101.621013,2894.929204,3900.8148570000003,2875.677853,2194.659612,1985.3006560000001,2250.007346,1987.707,1723.0002650000001,2740.917996,1725.406659,2620.5967180000002,1251.340993,1944.391413,1624.3368505,1451.074268,1282.6245,1114.174762,1049.201278,719.52108,969.78924,810.965223,539.039189,774.868832,666.579713,1085.29766,346.525193,320.054525,736.366045,428.34364,423.5308,425.937221,163.636898,98.6634245,267.11316899999997,38.5028,38.5028,0.0,0.0,0.0
2019-03-04,227540.589349,33677.618211,28322.662029,8673.627494,9420.015098,10028.646972,7140.77732,7331.131358,5870.916241999999,4916.641834999999,5314.882281,3529.0618249999998,4716.269215,4535.93396,4465.803616,5041.874665,7899.688478,4333.056731,4763.857797,3574.145596,3746.966964,3448.91266,3130.821363,2877.850986,1655.5783199999998,2720.057577,2419.498784,3283.605415,1304.9263199999998,4545.952586,2159.014439,2018.7536109999999,1339.9915409999999,1327.4682249999998,1663.0923129999999,884.143952,1277.375094,941.751058,851.583398,806.4995759999999,668.743442,653.715502,636.182895,460.8569,1410.12196,718.836593,703.80865,488.408124,182.83997,273.007618,237.94241899999997,30.055884,50.09314,0.0,0.0,0.0
2019-03-11,237682.82031500002,58315.33696,52829.715809,9131.391045,10195.548589,12544.451629000001,8629.6130695,7679.3861210000005,8726.57531,6384.944076,5521.982815,3449.4212325,5168.0716729999995,3100.3581990000002,5837.109057,4816.5847109999995,10142.219506,6944.899441,3958.471372,3558.503401,4433.584976,4069.9775600000003,4518.4266375,4094.2181875,2428.8966259999997,2666.453487,4343.89516,4026.344735,3735.458951,8362.967786,4644.477179,1136.8788299999999,1689.561896,1376.8596355,2373.143553,2116.194514,1544.118971,1195.055981,1580.479701,542.986914,1340.498903,724.790542,424.208506,404.816128,1081.125695,843.568905,974.4675,322.39847399999996,358.75919999999996,378.151597,441.176866,63.025263,77.56956,9.696195,0.0,0.0
