blA,blB,blBoth,date,siteA,countA,siteB,countB,blA_null,blB_null,blBoth_null,value,value_turn,value_null,value_turn_null,file,connectivity
1.8733652999999528e-06,0.0,0.0,2019-12-01,0,1,1,0,1.8733652999999528e-06,0.0,0.0,0.0,,0.0,,sim_0,0.5
0.0029768217499756,0.0021290504304185,0.0009977505777217,2020-01-01,0,327,1,194,0.0030049556784199,0.0021364790637482,0.0010333131394956,0.3908247376630118,0.4686364228232807,0.4019551706144681,0.4836523591683768,sim_0,0.5
0.1003151123073194,0.1017498066006931,0.0251484049723478,2020-02-01,0,3962,1,4083,0.1009549391097567,0.1041572714621233,0.0281956966362155,0.2489141124372645,0.2506940818179491,0.2749294794064398,0.2792899177083509,sim_0,0.5
0.0633832203569345,0.0621430469238653,0.0074393989339212,2020-03-01,0,687,1,680,0.0643186009901096,0.0626596138344731,0.0088913464777042,0.1185313495744992,0.119714100002783,0.140045227285442,0.1418991585424116,sim_0,0.5
0.0173791930779532,0.016653953106361,0.0014219409470714,2020-04-01,0,98,1,96,0.0175516180025251,0.0164185421680486,0.0013589549333308,0.0835621214313034,0.085381587061655,0.0800087445279715,0.0827695248105191,sim_0,0.5
0.0035826142990716,0.0053054769321601,0.0001554816571319,2020-05-01,0,13,1,20,0.0036140677598086,0.0053917013718651,0.0002731595575739,0.0349865124213913,0.0433989383596962,0.0606632378823219,0.0755823010879188,sim_0,0.5
0.0011180088619171,0.0014287846732308,8.095436629208386e-05,2020-06-01,0,3,1,4,0.00112692392346,0.0014472047608994,0.0001082895155036,0.0635735603808032,0.0724094137798386,0.0841368313570507,0.0960930132454389,sim_0,0.5
0.0004492146884999,0.0004324934564999,5.484621377991139e-05,2020-07-01,0,1,1,1,0.0004492146884999,0.0004324934564999,5.484621377991139e-05,0.1244089988074487,0.1268139736119023,0.1244089988074487,0.1268139736119023,sim_0,0.5
0.0317052479597587,0.0318420687833753,0.0093603782458517,2020-01-01,0,2172,1,2162,0.0324913700620221,0.0324743631265047,0.0107787946912445,0.2945955462978098,0.2952311950921258,0.3318301560598138,0.3319170463560893,sim_1,0.5
0.1101059274538408,0.1091124182473732,0.0236926054811832,2020-02-01,0,2589,1,2626,0.1106337175657968,0.1106481815651924,0.0257561589109587,0.2161553167952038,0.2171394041278486,0.2327904723532061,0.2328056896003777,sim_1,0.5
0.0437268342154729,0.0430083393010819,0.0033476504505121,2020-03-01,0,361,1,350,0.0439341013508537,0.0431666746112883,0.0037132528960994,0.0771924541056738,0.0778372405192577,0.0852633711946124,0.0860212867805297,sim_1,0.5
0.0088360671660326,0.0100647715077392,0.0006378975603364,2020-04-01,0,42,1,49,0.0086803834433457,0.0102616966838214,0.0006791390137318,0.067499392100698,0.0721924752664478,0.071706909607861,0.0782383656395314,sim_1,0.5
0.0014627555885388,0.0011877575020047,0.0002238728157096,2020-05-01,0,5,1,4,0.0014627555885388,0.0011877575020047,0.0002238728157096,0.1689279079649786,0.188483604887194,0.1689279079649786,0.188483604887194,sim_1,0.5
0.0007244879264974,0.0,0.0,2020-06-01,0,2,1,0,0.0007244879264974,0.0,0.0,0.0,,0.0,,sim_1,0.5
0.0,0.0005531117526,0.0,2020-08-01,0,0,1,1,0.0,0.0005531117526,0.0,0.0,,0.0,,sim_1,0.5
6.080448e-07,0.0,0.0,2019-12-01,0,1,1,0,6.080448e-07,0.0,0.0,0.0,,0.0,,sim_2,0.5
0.0646408551387741,0.0640383183823511,0.0170283377221756,2020-01-01,0,3446,1,3374,0.0649595774839138,0.0657532821350162,0.0190620238199802,0.2646634611680974,0.2659085708732255,0.2916625628962934,0.2934443935492141,sim_2,0.5
0.0880200073684605,0.0914084722950956,0.0145127971124621,2020-02-01,0,1408,1,1465,0.0885683269734769,0.092106795870934,0.015759440293317,0.1617669295272959,0.1648806623215805,0.1744505834030995,0.177935395551013,sim_2,0.5
0.0280433922348674,0.0282364242519849,0.002000627901783,2020-03-01,0,194,1,198,0.0281357637398088,0.0281142193239608,0.0019707944787003,0.0710957507208786,0.0713404385969958,0.0700727136741049,0.0700995626444711,sim_2,0.5
0.0073851866522556,0.0076734157716256,0.0004188160588395,2020-04-01,0,33,1,34,0.0071914138658266,0.0079535986611893,0.000505226161974,0.0556248245421908,0.0567102875743276,0.0667184871683464,0.0702540795732668,sim_2,0.5
0.0003282707774999,0.0024064679209642,1.048991846004532e-05,2020-05-01,0,1,1,8,0.0003282707774999,0.0024064679209642,1.048991846004532e-05,0.0076716056754791,0.0319550784871349,0.0076716056754791,0.0319550784871349,sim_2,0.5
0.0,0.0003744605897999,0.0,2020-06-01,0,0,1,1,0.0,0.0003744605897999,0.0,0.0,,0.0,,sim_2,0.5
0.0005274840461999,0.0,0.0,2020-08-01,0,1,1,0,0.0005274840461999,0.0,0.0,0.0,,0.0,,sim_2,0.5
0.0535554740056456,0.0532872996335509,0.0146951412933993,2020-01-01,0,3026,1,2943,0.0542368112868328,0.054340553559134,0.0164297325001696,0.2750797418087284,0.2757719267903548,0.3026364200950669,0.3029258562654175,sim_3,0.5
0.0997980713121106,0.1040130314092902,0.0175709175897376,2020-02-01,0,1783,1,1876,0.1012615603338213,0.1054537117963397,0.0204750869984977,0.1724235564708771,0.1760647010380184,0.1980994126607672,0.2021999950524079,sim_3,0.5
0.0360055268382178,0.031998096669118,0.002183061212472,2020-03-01,0,264,1,237,0.0357597062760258,0.0324343835999564,0.0023735275811186,0.0642042614754668,0.068224720834068,0.0696109467971536,0.0731793645408401,sim_3,0.5
0.0071818317272868,0.0098114010934207,0.0004320330987627,2020-04-01,0,33,1,45,0.0078629636054574,0.0093586353251815,0.000660399208694,0.0508476642815445,0.0601563939630123,0.0766942966624467,0.0839885877426277,sim_3,0.5
0.0023685508007067,0.0018575086119101,4.7839146971118686e-05,2020-05-01,0,8,1,6,0.0018246604152933,0.0023904491190322,3.6889268679798576e-05,0.0226400730800401,0.0257544684661918,0.0175033499743684,0.0202170597721156,sim_3,0.5
