date_range_start,United States,Mexico,Canada,Brazil,Japan,"Korea, Republic of",Philippines,Australia,Israel,China,Kuwait,Colombia,"Tanzania, United Republic of",Viet Nam,Argentina,"Taiwan, Province of China",Thailand,Indonesia,India,Iraq,United Arab Emirates,Turkey,Nigeria,Russian Federation,Costa Rica,Saudi Arabia,New Zealand,Singapore,"Iran, Islamic Republic of",Peru,Bahrain,Egypt,Chile,Ecuador,Ukraine,Guatemala,South Africa,Dominican Republic,Panama,Afghanistan,"Venezuela, Bolivarian Republic of",Malaysia,Lebanon,Pakistan,Jordan,Morocco,Jamaica,Qatar,Kazakhstan,"Moldova, Republic of",Honduras,El Salvador,Ethiopia,Cambodia,Ghana,Serbia,Kenya,Uruguay,Bahamas,"Bolivia, Plurinational State of",Paraguay,Syrian Arab Republic,Djibouti,North Macedonia,Fiji,Cuba,Uzbekistan,Armenia,Georgia,Trinidad and Tobago,Sri Lanka,Nicaragua,Lao People's Democratic Republic,Bangladesh,Belize,Myanmar,Belarus,Montenegro,Somalia,Uganda,Libya,Oman,Albania,Algeria,Barbados,Haiti,Grenada,Sudan,Bosnia and Herzegovina,Tunisia,Rwanda,Faroe Islands,British Indian Ocean Territory,Maldives,Saint Kitts and Nevis,Antigua and Barbuda,Mauritius,Mali,"Palestine, State of",Nepal,Yemen,"Korea, Democratic People's Republic of",Azerbaijan,Mongolia,South Sudan,Saint Lucia,Niger,Kosovo,Guyana,Senegal,Benin,Botswana,Zimbabwe,Central African Republic,Brunei Darussalam,Angola,Papua New Guinea,Kiribati,Guinea,Gibraltar,Zambia,Cabo Verde,Chad,Madagascar,"Congo, The Democratic Republic of the","Micronesia, Federated States of",Marshall Islands,Jersey,Seychelles,Samoa,Sierra Leone,Togo,Kyrgyzstan,Mozambique,Cameroon
2019-03-18,3209471.2,41264.55,1751.6489,752.62665,174.7169,116.477936,266.55527,80.63857,44.799206,156.79723,44.799206,62.718887,71.678734,107.5181,17.919683,53.75905,89.59841,163.5171,49.279125,8.959842,17.919683,8.959842,26.879524,35.839367,20.159643,17.919683,0.0,26.879524,0.0,230.71591,31.359444,20.159643,42.559246,8.959842,64.95885,44.799206,17.919683,0.0,64.95885,38.079327,26.879524,0.0,0.0,8.959842,0.0,0.0,0.0,17.919683,8.959842,0.0,0.0,0.0,47.039165,0.0,8.959842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.879524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.959842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.959842,44.799206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.959842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-25,3211411.8,39048.887,1169.068,528.09625,100.78172,82.641014,56.437763,102.797356,16.125076,88.68792,8.062538,50.39086,189.46964,8.062538,8.062538,16.125076,64.500305,64.500305,32.250153,8.062538,8.062538,8.062538,34.265785,24.187614,42.328323,16.125076,8.062538,8.062538,0.0,76.59411,8.062538,18.14071,0.0,16.125076,0.0,48.37523,0.0,8.062538,24.187614,0.0,24.187614,0.0,0.0,0.0,0.0,24.187614,0.0,26.203249,0.0,0.0,0.0,0.0,72.56284,0.0,16.125076,8.062538,0.0,8.062538,10.078173,0.0,0.0,0.0,0.0,0.0,0.0,8.062538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.062538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.062538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,3210721.2,41413.13,1107.406,426.2549,250.61218,149.93892,349.14346,96.389305,74.96946,164.9328,17.135876,77.11144,177.78471,104.95724,17.135876,96.389305,132.80304,17.135876,68.5435,40.697704,85.67938,25.703814,25.703814,0.0,34.27175,17.135876,51.407627,17.135876,8.567938,8.567938,8.567938,17.135876,0.0,0.0,0.0,0.0,25.703814,0.0,40.697704,0.0,0.0,0.0,10.709923,0.0,0.0,19.27786,25.703814,0.0,0.0,0.0,0.0,25.703814,182.06868,0.0,12.851907,0.0,0.0,8.567938,0.0,0.0,8.567938,0.0,0.0,0.0,0.0,8.567938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.27786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.567938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.567938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.567938,0.0,0.0,0.0,0.0
2019-04-08,3204703.2,45145.81,1153.4786,530.21063,225.069,209.92012,259.69498,220.74074,225.069,123.35512,17.313,181.7865,140.66812,261.85913,84.40087,34.626,177.45824,49.77487,43.282497,56.26725,95.2215,60.595497,43.282497,17.313,73.580246,108.206245,8.6565,17.313,0.0,34.626,0.0,0.0,73.580246,17.313,8.6565,0.0,0.0,0.0,47.61075,0.0,0.0,8.6565,8.6565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.939,95.2215,0.0,43.282497,0.0,0.0,0.0,0.0,34.626,0.0,0.0,0.0,0.0,0.0,0.0,25.9695,0.0,8.6565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6565,0.0,0.0,0.0,0.0,0.0,17.313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-15,3202521.5,48475.242,686.92706,372.90326,172.27695,141.74686,281.313,377.26468,178.8191,157.0119,218.07208,130.84325,104.6746,100.313156,17.445766,185.36127,104.6746,8.722883,87.22883,34.891533,115.5782,69.783066,17.445766,61.06018,34.891533,0.0,34.891533,34.891533,0.0,0.0,0.0,8.722883,65.42162,106.855316,17.445766,30.53009,0.0,0.0,85.04811,0.0,26.16865,26.16865,0.0,0.0,0.0,0.0,8.722883,0.0,17.445766,0.0,0.0,52.3373,0.0,43.614414,0.0,8.722883,0.0,0.0,17.445766,0.0,0.0,0.0,0.0,0.0,8.722883,0.0,0.0,0.0,0.0,8.722883,0.0,0.0,8.722883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.722883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.722883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-22,3211441.0,38572.31,914.5243,510.9932,291.6828,142.55174,133.77933,232.46901,230.2759,230.2759,111.8483,171.0621,125.00692,52.63449,46.05518,26.317245,179.83452,17.54483,96.49657,50.441387,0.0,26.317245,17.54483,0.0,8.772415,26.317245,74.56553,81.144844,0.0,26.317245,26.317245,28.51035,28.51035,61.406906,87.72415,0.0,28.51035,0.0,0.0,0.0,78.95174,17.54483,0.0,0.0,0.0,10.965519,8.772415,0.0,26.317245,0.0,0.0,52.63449,0.0,46.05518,8.772415,0.0,8.772415,8.772415,8.772415,0.0,0.0,8.772415,0.0,0.0,0.0,0.0,0.0,26.317245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.772415,26.317245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.54483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-29,3210378.0,39814.47,1058.1403,501.83856,289.8215,390.96725,122.54197,175.05997,71.96909,81.69465,77.80443,93.36531,200.3464,23.341328,54.4631,23.341328,31.12177,31.12177,62.24354,23.341328,54.4631,27.23155,23.341328,122.54197,0.0,95.310425,62.24354,31.12177,0.0,60.29843,0.0,23.341328,95.310425,7.7804427,7.7804427,0.0,0.0,0.0,7.7804427,15.560885,7.7804427,87.52998,0.0,13.615775,0.0,0.0,0.0,0.0,7.7804427,0.0,0.0,7.7804427,0.0,0.0,7.7804427,0.0,0.0,0.0,23.341328,0.0,0.0,7.7804427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.560885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-06,3210384.5,39885.734,1195.3269,346.5618,195.07071,365.23877,213.7477,186.76984,143.1902,66.40705,49.805286,132.8141,197.14594,33.203526,58.10617,49.805286,103.76102,16.601763,114.137115,0.0,0.0,0.0,16.601763,207.52203,0.0,16.601763,91.30969,97.535355,0.0,41.504406,68.48227,0.0,58.10617,8.300881,0.0,16.601763,20.752203,16.601763,16.601763,0.0,33.203526,16.601763,0.0,0.0,8.300881,8.300881,16.601763,0.0,8.300881,0.0,16.601763,0.0,0.0,8.300881,8.300881,0.0,10.3761015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.752203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.300881,0.0,0.0,0.0,8.300881,0.0,8.300881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.300881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.676983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-13,3211469.0,40101.875,954.0919,478.11795,313.0279,325.89206,278.72348,192.9624,34.30443,135.07368,150.08186,124.353546,96.4812,62.176773,105.05731,135.07368,171.52214,122.209526,120.0655,96.4812,87.9051,25.728321,17.152214,17.152214,49.312614,8.576107,98.62523,68.60886,0.0,25.728321,42.880535,0.0,64.3208,0.0,0.0,0.0,17.152214,17.152214,38.59248,0.0,51.456642,17.152214,0.0,17.152214,8.576107,0.0,0.0,0.0,8.576107,0.0,0.0,12.864161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.576107,0.0,0.0,0.0,25.728321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.440268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-20,3213471.0,36211.832,1005.9451,547.9004,245.45938,287.09982,295.8662,212.58536,87.66406,344.08145,236.69298,70.13125,179.71133,35.065624,151.2205,78.89766,186.28613,0.0,149.02892,46.023632,28.490822,0.0,17.532812,0.0,17.532812,17.532812,46.023632,8.766406,13.14961,17.532812,8.766406,8.766406,43.83203,67.93965,0.0,0.0,0.0,8.766406,35.065624,0.0,52.59844,8.766406,0.0,0.0,0.0,8.766406,0.0,0.0,8.766406,0.0,48.215237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.766406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
