date,efficiency,distance,county_distance
2019-01-07,227.35849119041328,84.91563931615148,282.0548006001215
2019-01-14,246.008601116508,89.79037007276447,292.8859194216033
2019-01-21,238.2652146311517,87.27166146893445,281.8680504859364
2019-01-28,210.54879115428668,70.48974015189589,248.93235279864857
2019-02-04,221.9495612825826,79.78138630245923,267.3381139284732
2019-02-11,234.3760448909766,87.1353136791038,282.82487093495774
2019-02-18,239.74073217024295,92.58479655964302,294.25616528712305
2019-02-25,213.50152545184764,75.35650518764069,258.23424537238503
2019-03-04,232.1454438272424,89.83582304522314,291.42486529803176
2019-03-11,246.86353790516557,104.40418729971628,321.7971292864256
2019-03-18,255.9289470966336,104.84122311340626,325.0208090512665
2019-03-25,244.90130246893744,94.7612270248712,305.5381175384253
2019-04-01,240.46240726582568,95.98600542468836,307.5115451939586
2019-04-08,226.25509622473405,93.1542861208462,303.69171294898445
2019-04-15,250.0913571687181,102.82932585331324,321.94647617433856
2019-04-22,265.118868273889,104.15634444275564,320.35674108478287
2019-04-29,232.2179510800588,87.13658247002128,288.27905036557354
2019-05-06,235.94959655525287,93.15958565674929,299.17822217682993
2019-05-13,239.5156507736637,100.68466555360398,316.9316179047593
2019-05-20,265.1997193039448,111.1510377258098,332.34170871608995
2019-05-27,239.3703731869272,99.95733382388951,314.69856640010994
2019-06-03,244.60206149087088,116.76813771617842,350.7797262273673
2019-06-10,261.2200897897932,127.23233601842516,366.91690200652585
2019-06-17,275.06086616590864,137.7606277598988,386.2417435024959
2019-06-24,247.79686350233837,122.3721879043084,360.10445963490923
2019-07-01,275.8416407279809,143.55397963866113,392.5941485040445
2019-07-08,256.53485630027365,137.9748855919318,385.5873597519107
2019-07-15,261.96722748998104,141.1063916134775,389.528233087029
2019-07-22,267.9296557432227,142.65850102322906,391.4412834894442
2019-07-29,246.02014396424175,122.54125996922588,355.03603685295104
2019-08-05,248.34802255021503,125.45837010545118,360.1051731821428
2019-08-12,261.1566566800586,121.68672645091875,352.4578491967626
2019-08-19,256.82791766541334,118.42339982769325,346.0166803599858
2019-08-26,254.70218739923865,97.35947726244632,300.08052944871935
2019-09-02,262.6408081975466,109.71539808814556,332.84267807773875
2019-09-09,251.82954183158063,108.59139888871042,332.37248196403624
2019-09-16,260.3600022940967,109.16466233661448,332.0603629713261
2019-09-23,267.87958332315054,106.38278808180242,323.85722436609467
2019-09-30,239.6689428139704,92.39566874275064,300.5389951012705
2019-10-07,243.9513906799881,98.25300794877954,308.7931655900361
2019-10-14,240.83333956084837,95.64427116464964,301.2792738306773
2019-10-21,229.90289233510336,90.55805059992676,293.7624881052071
2019-10-28,202.20261216347816,71.81271633363305,250.75180116611915
2019-11-04,214.89135304852064,82.89529486147765,274.8372835065922
2019-11-11,212.9726489583496,77.80292294220953,262.1669001962907
2019-11-18,215.3718322220953,81.33801017596875,272.74456209887046
2019-11-25,264.94462481126226,98.69157889851242,295.32282676176794
2019-12-02,208.83279456466255,72.85544110101159,249.50887767753176
2019-12-09,216.4612449093673,76.90003213902898,255.9976897839585
2019-12-16,231.24534705531696,88.83056870176956,284.3138186952692
2019-12-23,305.06781088562104,147.98213878448158,404.0009753145303
2019-12-30,213.3082212074873,110.61696963009577,335.45380359698186
2020-01-06,183.4631255557079,82.88100847148158,276.35471380791006
2020-01-13,195.5878506603472,86.82365250398595,283.34690114303385
2020-01-20,194.2799510898353,85.08732185706471,275.6012273643171
2020-01-27,169.95216273798033,69.26148791235988,242.84569773706363
2020-02-03,184.86347771047505,77.52601205098404,260.87835825483427
2020-02-10,197.2859155868964,87.18721819491125,280.1081097494109
2020-02-17,200.48639352725465,91.55343241973571,287.9916983885591
2020-02-24,176.0047948800107,75.33862411438797,255.23330725080035
2020-03-02,196.2678844847215,83.85498379540816,274.21528598340814
2020-03-09,185.78858504859045,90.85790012208928,302.91880983809085
2020-03-16,183.1584906396008,80.55303870785374,278.2215143432454
2020-03-23,180.7280064590092,66.684376449222,243.29105703190308
2020-03-30,165.1439501960813,51.31362868571051,206.2284144757502
2020-04-06,158.03692507912237,48.99607006894832,193.82093977094388
2020-04-13,161.4146295750664,47.47859643883725,183.85155700665655
2020-04-20,164.87344435669587,51.61302618621168,193.05668764124965
2020-04-27,151.5684187642253,41.6969602704622,162.55282913120112
2020-05-04,166.01176530523378,48.59954892433976,178.72564779829128
