# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Jun 02 17:20:30 GMT 2021 [seed=1123581]
# -beagle_GPU -beagle_order 4 -seed 1123581 -save_every 10000000 -save_stem 2021-06-02_discrete_only.xml_run1 2021-06-02_discrete_only.xml
state	Location.rates.Arizona.California	Location.rates.Arizona.New Mexico	Location.rates.Arizona.Texas	Location.rates.Arizona.Baja California	Location.rates.Arizona.San Diego	Location.rates.Arizona.United States	Location.rates.Arizona.Mexico	Location.rates.Arizona.Rest of World	Location.rates.California.New Mexico	Location.rates.California.Texas	Location.rates.California.Baja California	Location.rates.California.San Diego	Location.rates.California.United States	Location.rates.California.Mexico	Location.rates.California.Rest of World	Location.rates.New Mexico.Texas	Location.rates.New Mexico.Baja California	Location.rates.New Mexico.San Diego	Location.rates.New Mexico.United States	Location.rates.New Mexico.Mexico	Location.rates.New Mexico.Rest of World	Location.rates.Texas.Baja California	Location.rates.Texas.San Diego	Location.rates.Texas.United States	Location.rates.Texas.Mexico	Location.rates.Texas.Rest of World	Location.rates.Baja California.San Diego	Location.rates.Baja California.United States	Location.rates.Baja California.Mexico	Location.rates.Baja California.Rest of World	Location.rates.San Diego.United States	Location.rates.San Diego.Mexico	Location.rates.San Diego.Rest of World	Location.rates.United States.Mexico	Location.rates.United States.Rest of World	Location.rates.Mexico.Rest of World	Location.indicators.Arizona.California	Location.indicators.Arizona.New Mexico	Location.indicators.Arizona.Texas	Location.indicators.Arizona.Baja California	Location.indicators.Arizona.San Diego	Location.indicators.Arizona.United States	Location.indicators.Arizona.Mexico	Location.indicators.Arizona.Rest of World	Location.indicators.California.New Mexico	Location.indicators.California.Texas	Location.indicators.California.Baja California	Location.indicators.California.San Diego	Location.indicators.California.United States	Location.indicators.California.Mexico	Location.indicators.California.Rest of World	Location.indicators.New Mexico.Texas	Location.indicators.New Mexico.Baja California	Location.indicators.New Mexico.San Diego	Location.indicators.New Mexico.United States	Location.indicators.New Mexico.Mexico	Location.indicators.New Mexico.Rest of World	Location.indicators.Texas.Baja California	Location.indicators.Texas.San Diego	Location.indicators.Texas.United States	Location.indicators.Texas.Mexico	Location.indicators.Texas.Rest of World	Location.indicators.Baja California.San Diego	Location.indicators.Baja California.United States	Location.indicators.Baja California.Mexico	Location.indicators.Baja California.Rest of World	Location.indicators.San Diego.United States	Location.indicators.San Diego.Mexico	Location.indicators.San Diego.Rest of World	Location.indicators.United States.Mexico	Location.indicators.United States.Rest of World	Location.indicators.Mexico.Rest of World	Location.nonZeroRates
5000	2.1373411690561577	0.5676209126852536	2.7379270514035965	0.16490408344777788	0.3632338090402762	1.044622370175586	0.9752910219796673	0.2360755101559101	0.1206988360099641	0.46072721852611503	0.8762030461212442	0.5097014833356072	0.524935868723985	0.21540160757943128	0.4824321189429098	0.20352701794902256	1.6139100795154775	0.48710151927778045	0.4168794783207301	0.9517427590382292	3.43797789691221	0.5205713669201181	0.22968706044561923	1.3653437010588425	2.4687265014780966	3.1496995255304876	7.257283420682127	1.4602276497280293	3.403170208003386	4.224081420991342	3.849491287469552	2.5061535019892416	0.1791929304025503	1.4767098401670251	1.4858774404753172	0.3777905597960487	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	21.0
5500	1.1906608550787605	0.10828802802124071	1.301568270955853	0.3418387337264309	0.5036396927098692	0.7367852660931192	3.376317905332657	0.21098555414570144	0.1761522787029279	0.36844351904020417	0.7166121438483312	0.8878242152917796	0.45431505081716916	0.08950378340247314	1.1669568218793889	0.1307460996602407	2.422845115083886	0.24059707984867146	0.6887830551320098	1.2500991428946333	2.040924565549801	0.45810828699892847	0.4400496154231527	1.6660969690546115	2.647290165218865	1.4610415845007307	7.489519778658094	2.0558744707566463	3.384318416957365	1.5698143831961535	4.234169573391758	2.6137208141879564	0.24094117192717918	1.9843622183666167	1.6848158318067556	0.7025511225048636	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
6000	4.6307860174269795	0.07193181629578409	1.2335204746407789	0.34805885798920316	0.35941942389945986	1.2169487876545653	1.549230104867322	0.4098396150531371	0.17993545486706247	0.3308764076675043	0.6647941452935402	1.472175387775014	0.5606693774050727	0.1074948525954173	0.3905247095354137	0.12221110320919078	1.4543656119092951	0.14129952352798125	0.5054947562146975	0.7370636215090863	1.435378623478208	0.8679968241616935	0.5178270347806713	1.6111524617855022	1.9113621239079521	0.28218878954414234	7.401779294153301	1.312989120025928	3.41564123380674	2.8638958258319724	4.170013141019634	2.1811771159386817	0.20122305693897674	1.6815986449274818	2.025355851559343	0.5529474007936603	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
6500	4.102438273773292	0.24478199223688657	1.2565318445517693	0.4153794632261024	0.39154895099731873	0.9418385951673864	1.2540418176910022	0.9272927530654497	0.6375641845183733	0.4142984517372311	1.243140055309316	0.6798291861594801	0.9039256387385175	0.3630882296896998	0.7284371649157775	0.3802852678576443	0.4718372865766406	0.17399169785370272	0.793700780439882	1.468391421425649	1.7657795730825057	0.8518716022195172	0.3596615432549624	1.6682845221638634	1.6341233871164922	0.14625120961994809	6.8536894949470595	1.0200005577390086	3.346670520774428	1.0290093649805065	5.286963933932915	2.669628668381763	0.1381469651391185	1.7083389402093272	1.3784169189022228	0.42427556101712244	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
7000	4.332609850920867	0.2587904396096075	0.758101389521451	0.38506514155630606	0.5183846111997079	0.8877532399345939	1.8368904197584537	1.2578075278274174	0.7103715887863408	0.9988000431926038	1.1101556335107061	0.5246358624759447	0.4273277291140648	0.6997170002490366	0.8750321232362243	0.30554421011846333	0.46561130101935866	0.1670478313814042	0.38806532908088687	2.559914268888283	1.706335488344453	1.4273772543899788	0.2256850106825174	1.5976135966474456	1.0466590429339253	0.09884410405954898	8.589443265989237	1.7965486459608646	2.930199524184261	0.5157241897430733	5.442976627663398	2.790848387750493	0.33348250477519215	2.7820833094243715	2.025230848621521	0.40910304010462517	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
7500	5.454458564359828	0.14463377182857423	0.5180655187974961	0.4805685711044676	0.7013464174008982	1.1997151458180324	0.4584471823299092	0.4670144393152794	0.6587923068894079	0.7113364963289623	0.5903359395646914	1.1129767679800815	0.5906629225511063	0.2628389582410961	0.7827155183627034	0.08274601405717227	0.3539134859543489	0.5130809026642947	0.4730931837596175	3.0318796884184005	2.6480598184769173	1.8789699588189657	0.27777629113902125	2.309799991546199	2.430440222937898	0.1610405662416117	10.341824445846493	1.6324124073831618	3.388445856748472	0.8291257150326824	5.065146275296646	3.5935892928933666	0.3877564033086852	3.0302380440833376	1.00247487969555	0.23378670907998553	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
8000	3.2523644533172034	0.4481236831207455	1.089375228578667	0.43742117926391977	0.34121783846411985	0.8444582033256129	0.4573086728675354	0.8849248745680112	0.3287050512179821	0.5727842062360626	0.8066052324679217	1.1601350990775514	0.5744327769019263	0.14274092297995494	0.8472310772830806	0.08522032240109521	0.30423503993130624	0.5308169307418847	0.8483409401979705	1.150020080850261	1.6477664498036677	3.178836456396694	0.18867622977280923	1.66429718772109	3.6205743524471568	0.05848455226319188	9.036025980906379	2.1796503360795247	5.556921765361381	1.698090298902741	4.731688896864132	3.507190106870744	0.4519504987478503	2.24564581372545	1.3412022820952632	0.5786320338200922	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
8500	1.0050948863993805	0.42819722936274696	1.122263168501423	0.7486971716503713	0.4635318684420455	1.1026681439744352	0.3331579812172935	2.1113308998872977	0.2988913179758377	0.36983871588501394	0.8631608796525417	0.9321620487178581	1.2468942596971677	0.09191963540292634	1.0887256207976865	0.08245652892787199	0.38545845672781753	0.2029766768588939	0.6132787372902091	1.1514148724704845	2.5055816918373512	5.032413478358261	0.10864624200623867	1.614347471139294	3.2403550965259282	0.07639228815837007	9.018286399065136	1.7387257801968403	5.043211334812419	1.6263874156148506	5.4577701256567765	2.700433853492001	0.4292387828264153	2.4062354455165393	1.9254430025746387	0.8071248458012643	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
9000	1.4075513900055026	0.3953024114193814	0.7650921440656939	0.8982199415995055	0.45022306734691625	1.3595008744998383	0.2682127583764894	1.8061231505356867	0.31791963304767834	0.366437257593373	0.9039366648669147	0.9578366697424185	0.9033910665539567	0.12114299524932483	1.5285756595563476	0.07931159640535963	0.6019047830171901	0.3356231281918903	0.6424719481372797	0.9064930873424354	2.191894700699256	3.0858937164076403	0.12818805452263632	1.5280594336453022	2.3461471733061994	0.07714629924963182	9.630269572295944	1.4135732156219616	4.176373664376902	2.2502908937942396	5.1107836199838586	2.4657756593261277	0.4376382024823608	2.7947110183659043	1.024445948794154	0.7433956739277284	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
9500	1.4909348067847472	0.7007706206792561	1.0523169672578672	0.20082181168947472	0.3431506850767757	1.0318330159976286	0.31473342395175996	2.360427185345197	0.23560331038170323	0.32120773205898084	1.197577169922251	0.6982033062109233	0.9777117215622589	0.20967738809340947	0.8024067651892728	0.12082600764663265	0.6940959261448462	0.4433677046358438	0.4779354489416776	1.0528061805725697	2.160970534855833	3.387351555750472	0.20565001618147216	2.2123173885141254	2.1862445590348845	0.1293171583367127	9.261916625813978	1.4122632329611555	3.603650101449886	1.456520422880051	6.267260928411448	3.424388604545818	0.7059194435273041	2.601913099758238	1.7542792440064667	0.49222222192970416	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
10000	2.954610689444324	0.5804741614244334	1.8597955996944977	0.08488247974171304	0.40901983976291223	0.6821844998436473	0.14280245830502244	1.9411620509199392	0.32322848730179177	1.0684824927879473	0.7201687133419047	0.6648225939567243	0.5823479304984341	0.12018789251249949	0.39177770109776017	0.31603323812105094	0.42563687871033207	0.5641658245987831	0.7367040598035866	0.9634639386744195	3.1104857812395155	2.444677438888105	0.2408718504734312	1.6711836448289723	0.8468642672355388	0.15635522080052636	6.065281586633891	1.2868323463278768	4.569830287221022	1.0509680749909163	3.3298861261543813	1.7703989759013694	0.7446801105378741	1.468198266660163	1.6023644475621404	0.3090072812161247	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
10500	1.9144708049683814	0.13182877848384453	1.580975206513768	0.15191300892461593	0.5078423527161384	0.7551962378118349	0.5738327680098171	3.246940615289617	0.2364913894204556	0.5018071806400488	0.8684747311562514	1.4148002648390614	0.7717209965355313	0.14806767290836215	0.28356951269799413	0.9186108333514218	0.9628703974418628	0.36434496237543834	0.7857421047013201	1.9215013768653169	4.082373831778814	2.513186246980586	0.6165091988410966	1.292573708304835	1.3575975469975994	0.5978324345402142	6.919007868298721	1.1753515017652854	3.5833642246238564	2.725286386776213	4.264083106034199	2.234087222986333	0.28801802425382944	1.6594220535654378	1.9363536751336956	0.3447207451417217	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
11000	0.5095054433683769	0.07573299696031316	0.8931583135108758	0.08633988471142556	0.8148828753901755	0.43449172123902896	0.6297434373189442	4.466906257562106	0.19624345025039722	1.7225837536295963	0.9746443965108144	0.5815929057924852	0.5782208650650738	0.050153562985517285	0.39159497401204146	1.1042756275488532	1.5627512412837183	0.8409328676285611	1.2385765186115414	2.187853926970603	1.4797168972317187	5.226536072904039	1.598279168353453	1.8724585729636356	0.34977862927380166	0.655791599673572	8.894372213186491	2.41877771721362	3.3597177860741074	0.8028213192594943	4.886556741726253	2.3959697703218894	0.4056490222240169	1.9584334583973093	2.2250151802990037	0.1389624430525452	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
11500	0.8081037835881618	0.16014571211577064	0.5753414979475141	0.2861102537135376	0.45888659481716537	1.0213656683662058	2.942372537794826	2.527200773734931	0.09615883650942571	1.7847401286972828	0.9244999485013519	1.1624094357670924	0.18018245334646144	0.028924062162071548	0.5431024637880885	1.6358604383166584	1.1440984070837676	0.15996351110222395	0.9920447136142162	2.670615585381311	2.8272384643858737	1.2428229680327019	0.9918320939388439	1.941267593658006	0.3145863863881832	0.578058889652922	6.550545095886295	1.1661840637037073	4.0878976995773195	0.5232689775346965	4.669479994723924	2.273037619870094	0.416297392646	1.9988402884749399	1.431046180888693	0.4037333352027682	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
