# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Jun 02 17:20:30 GMT 2021 [seed=1123581]
# -beagle_GPU -beagle_order 4 -seed 1123581 -save_every 10000000 -save_stem 2021-06-02_discrete_only.xml_run1 2021-06-02_discrete_only.xml
state	Location.rates.Arizona.California	Location.rates.Arizona.New Mexico	Location.rates.Arizona.Texas	Location.rates.Arizona.Baja California	Location.rates.Arizona.San Diego	Location.rates.Arizona.United States	Location.rates.Arizona.Mexico	Location.rates.Arizona.Rest of World	Location.rates.California.New Mexico	Location.rates.California.Texas	Location.rates.California.Baja California	Location.rates.California.San Diego	Location.rates.California.United States	Location.rates.California.Mexico	Location.rates.California.Rest of World	Location.rates.New Mexico.Texas	Location.rates.New Mexico.Baja California	Location.rates.New Mexico.San Diego	Location.rates.New Mexico.United States	Location.rates.New Mexico.Mexico	Location.rates.New Mexico.Rest of World	Location.rates.Texas.Baja California	Location.rates.Texas.San Diego	Location.rates.Texas.United States	Location.rates.Texas.Mexico	Location.rates.Texas.Rest of World	Location.rates.Baja California.San Diego	Location.rates.Baja California.United States	Location.rates.Baja California.Mexico	Location.rates.Baja California.Rest of World	Location.rates.San Diego.United States	Location.rates.San Diego.Mexico	Location.rates.San Diego.Rest of World	Location.rates.United States.Mexico	Location.rates.United States.Rest of World	Location.rates.Mexico.Rest of World	Location.indicators.Arizona.California	Location.indicators.Arizona.New Mexico	Location.indicators.Arizona.Texas	Location.indicators.Arizona.Baja California	Location.indicators.Arizona.San Diego	Location.indicators.Arizona.United States	Location.indicators.Arizona.Mexico	Location.indicators.Arizona.Rest of World	Location.indicators.California.New Mexico	Location.indicators.California.Texas	Location.indicators.California.Baja California	Location.indicators.California.San Diego	Location.indicators.California.United States	Location.indicators.California.Mexico	Location.indicators.California.Rest of World	Location.indicators.New Mexico.Texas	Location.indicators.New Mexico.Baja California	Location.indicators.New Mexico.San Diego	Location.indicators.New Mexico.United States	Location.indicators.New Mexico.Mexico	Location.indicators.New Mexico.Rest of World	Location.indicators.Texas.Baja California	Location.indicators.Texas.San Diego	Location.indicators.Texas.United States	Location.indicators.Texas.Mexico	Location.indicators.Texas.Rest of World	Location.indicators.Baja California.San Diego	Location.indicators.Baja California.United States	Location.indicators.Baja California.Mexico	Location.indicators.Baja California.Rest of World	Location.indicators.San Diego.United States	Location.indicators.San Diego.Mexico	Location.indicators.San Diego.Rest of World	Location.indicators.United States.Mexico	Location.indicators.United States.Rest of World	Location.indicators.Mexico.Rest of World	Location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	36.0
500	1.656123574490872	2.461869357896601	1.8505200624958291	0.9870989818191503	1.6272765274927865	2.2061023216881224	0.6646078866651701	1.4750728024980895	0.4775259960545359	0.17944550735359857	0.08451563568696242	4.251948765090165	2.264496404110853	2.2089551755336974	0.6210459698066515	3.416444931653849	0.8329226887777205	1.4221788036642469	2.2512974417447422	2.277539787236589	1.6346501600075956	4.548637573524266	0.9764085621438238	3.38395034810343	0.634835811985619	8.84778822851461	17.847750145880646	4.131091580426304	8.556145943700512	1.2933162158320375	8.642286767120321	6.17172682657865	1.4210405020320132	4.355900775438207	3.3081661444968673	1.4502798793960845	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
1000	1.6947925681278189	3.4917402719647286	1.6849369246723602	0.9334010315161971	1.8290698212567968	1.3815069973329068	0.4004526366076245	0.8561763181496007	0.3488334254787842	0.32121847342342424	0.3786079974213344	2.431669637727819	1.6539257695081613	2.430185709698473	1.8016862839067869	0.7668934812545455	1.1873534597288942	1.5866887344662388	0.5887184785035826	2.4855844455693417	1.4256828671715465	1.9464961219584058	1.5730241858602476	2.1431432042394905	0.31511716840490994	7.054062410006192	18.656533636261127	4.19019714392275	10.343256383720469	0.8919397281221456	8.115515157310995	7.6036559564644195	1.4512838034863715	3.942752098921133	4.428366645162189	0.4648241594086891	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
1500	0.5372491166310125	2.6908870391072597	0.6845625366471658	0.5311080280141333	0.616377324657641	1.8512969684387972	0.7785311982087183	0.9560770354649908	0.3244756580966281	0.09396284667416924	0.5902262683185553	1.4669085451379666	2.1723734016076466	1.568398677540791	1.2525699139454731	2.7416618476213483	1.3146931927331111	1.0438500778242588	1.0024787481813224	3.7053654397700835	3.2454979001008852	0.7844589283025961	1.2691455566141578	1.795100053590533	0.5119229303710936	5.648166677066254	14.48181626712846	2.755030455949893	5.293337249709824	1.9467839812762822	9.214467575982646	3.0137884752245463	1.5359862834591176	4.222376149632541	2.7403516029818418	0.2842124562749399	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
2000	0.42125389723843076	3.044205448595286	0.38503207542580636	0.3874173295607282	0.7101857173816842	1.4429682849296532	1.1374690694997656	0.24263350008075066	0.3553857405400839	0.0887621473985881	0.7184065752095941	2.5087064335569145	0.9211985105621449	2.828761706797953	1.6853952798876402	1.2828924783068998	1.3937195639487985	1.0431718204222902	1.8152566241787522	1.5990568010495798	3.0545563461334613	0.45997772825478234	0.3189127966432853	2.233894604739403	0.43579723683039867	3.6578479999824474	12.93607847129923	2.9085590542282436	6.290390001984396	1.5826430051972153	6.6554208891550335	3.1426696180736795	1.296783005201412	4.281905384691711	2.123044742532026	0.5015036590106995	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
2500	0.22997091014222723	7.024707841461296	1.1489861595065716	0.41331042806884055	1.5575693404897122	0.9076831244749807	2.4488838350201263	0.18813433010740893	0.30242518339929964	0.09452526759644575	1.0911525710737415	2.4753073851352823	1.1889268425741064	4.048014124942433	1.0128738215913755	2.2672174598188675	1.2500565788697118	0.7865993020392082	0.8834577602413319	0.9603392032661664	1.471365489011544	0.6251521329254408	0.49138001165691414	2.771920829816025	0.3007719828739094	4.02195354321438	13.310009416610704	1.9899882616593711	4.554684752878663	1.8998859894017734	9.833467622558496	4.102538034326459	1.9050121343397792	3.208688532105082	1.8545340446410494	0.4087728524870719	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	22.0
3000	0.522442205984689	3.4905527530706024	2.953842509779161	0.34571825416433116	0.8662889981817413	0.9680782598789914	0.7182193929906164	0.06791238716465899	0.1053064886605697	0.4325849168757159	0.7250071058138575	0.875213264954878	0.8729450174553732	5.750712181158475	0.3890150378983582	0.9918375932097798	0.41855401656497276	0.3502402382008871	1.2932348261050717	0.9932033167022818	2.9261990797221977	0.5701159986240399	0.19543159511158772	2.1759931247849154	0.16204624954337513	3.1510011862142377	15.948346862514088	1.9707583402165707	5.501652453084564	0.7483991619890493	6.5572090846806494	3.421208899707142	1.793309275848821	3.412590590614407	1.515773776119312	0.978459451920717	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
3500	0.9264156973896059	0.9093435870733174	4.022656576340273	0.8698154890362345	0.7223096987376171	0.8713632839243388	2.2168164531364134	0.041886799128066025	0.1823820115631994	0.38180650037162683	0.9170901707654313	1.1103034971219317	0.6876375320787621	2.636975629058369	0.93582756964945	0.8309538313858605	0.9680863661230632	0.18144455113730865	1.3798559852040784	0.7793158587608926	7.069143048370254	0.5940370474447866	0.11087670387240425	2.0389915947478783	0.541982190977671	5.043146883942238	10.065751971199996	1.679953859838709	5.4253487388358455	1.1187528086219405	6.528487182605666	4.350490590821244	0.28089947350099415	2.75090924680899	1.5349579523467747	0.6183391245165764	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
4000	0.6756030143243439	0.3668032318819279	4.709366319326351	0.4365702830242942	1.1107528405199967	0.525944543778767	2.184618322341476	0.15793008490390958	0.16983367053615755	0.4416028841579935	0.9567382519035469	1.4716485119354394	1.1627230048264228	1.1409196938225479	0.7632258096618505	0.5302041404000846	2.5869034828807815	0.35042499777353076	1.2101888867577026	2.304057074349391	3.946414581015781	0.8494634300573782	0.08794664543417505	2.0689363850589304	0.5371458569319629	3.7276068094589463	10.647032070331164	1.8245462275663618	4.662489621511701	1.3425585763317611	5.4627254023019995	3.833129217990362	0.047304019164582	3.1144446355713895	1.6845127635528818	0.6088698215193724	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
4500	0.9127867856939784	0.23950483625860222	4.538495494109067	0.5684849614422016	0.56082535639896	0.5352926562206672	1.579790452215823	0.22634744904101747	0.1642258810655357	0.8901282639804105	0.6064065546476562	1.1759079203883418	0.8615577715598012	0.621959292272626	0.9886379401110751	0.3512399954784468	2.654328378078608	0.1785760522897615	0.8358159859818965	3.152849316060177	3.133734508365868	1.7537050984866693	0.05040100498481441	1.526120485857534	1.334103174875016	4.961295319201239	6.6237383789367446	1.395567190909264	4.186638719136695	4.154981317409561	5.086727082241948	2.1401713769868875	0.0632167006911574	1.9333636865063097	1.0166536245575337	0.6756826644241434	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
