state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	tmrca(intro_la)	tmrca(SDSU_outbreak)	tmrca(intro_wa)	age(intro_la)	age(intro_wa)	age(SDSU_outbreak)	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
100000	-157709.42035780786	-10328.324063659504	-147381.09629414836	2.5721683711249765	2019.9126489804733	443.08433169781443	2.3559700606156553	1.8941599261090498	2.4286428277698278	2020.1288472909825	2020.0561745238283	2020.590657425489	26.361110899500485	0.30905863677475026	5.716976630668799	0.26469319883384707	0.16949846895986875	0.17456498268922133	0.3912433495170653	0.19317737369447396	9.1E-4	9.100000000000035E-4	-147381.09629414836	0.0	-10333.645079229042
200000	-157787.50524583252	-10384.31404988866	-147403.19119594386	2.5729040731752075	2019.911913278423	445.9924054014454	2.3733938793040963	1.8716060979001137	2.425161397387064	2020.111423472294	2020.0596559542112	2020.613211253698	28.21986543280762	0.3238236708989609	5.719044027696579	0.26184680676311733	0.17333648975396812	0.17429107869945695	0.3905256247834601	0.20365621476437498	9.1E-4	9.09999999999999E-4	-147403.19119594386	0.0	-10389.390381886053
300000	-157734.14271262102	-10310.895477524462	-147423.24723509655	2.5812714358334494	2019.9035459157647	441.662886807038	2.372416579568822	1.9269344697386723	2.440050713805892	2020.1124007720293	2020.0447666377922	2020.5578828818595	26.08201186962835	0.29756989964138975	5.891415470682226	0.25772659264575987	0.1697694150419297	0.1740176445836821	0.39848634772863084	0.20065751084652095	9.1E-4	9.100000000000027E-4	-147423.24723509655	0.0	-10314.072069292242
400000	-157706.46758958834	-10319.555991368667	-147386.91159821968	2.573981263545608	2019.9108360880525	442.7446953041843	2.383910786813272	1.8934516772211756	2.4176935251095997	2020.100906564785	2020.0671238264886	2020.591365674377	26.969091681134152	0.30894787373959115	5.987715365107399	0.25498977044997645	0.17182815422199707	0.17625494486039844	0.39692713046763056	0.2124773447629494	9.1E-4	9.099999999999986E-4	-147386.91159821968	0.0	-10324.391504754558
500000	-157699.5375847117	-10306.512553451148	-147393.02503126056	2.5679820086563687	2019.9168353429418	440.6341337159404	2.3593066490078307	1.9224884823243154	2.3946495254018223	2020.1255107025904	2020.0901678261964	2020.5623288692739	26.707853428150806	0.32970465265760507	5.635155850346845	0.25951042499885296	0.17075372330975833	0.17655741869707822	0.3931784329943129	0.20676414219865302	9.1E-4	9.10000000000001E-4	-147393.02503126056	0.0	-10312.491276347302
600000	-157679.82318863156	-10273.134751624983	-147406.68843700658	2.5833782073624647	2019.9014391442356	438.9072832201118	2.36786925506123	1.8905910578235345	2.439648109443029	2020.116948096537	2020.0451692421552	2020.5942262937747	24.606867898075258	0.24014670095837393	5.879641608671846	0.25627107015667566	0.1704859632750888	0.1717269863500208	0.4015159802182172	0.208020141926237	9.1E-4	9.099999999999962E-4	-147406.68843700658	0.0	-10275.81303795655
700000	-157736.0801279023	-10327.826879114	-147408.2532487883	2.5784005549403046	2019.9064167966578	444.24907115085176	2.353390188498558	1.9048687755887401	2.4290750083970645	2020.1314271630997	2020.055742343201	2020.5799485760094	23.687555878459857	0.21041137213358563	5.90676540843177	0.2596106662804639	0.1717165032988109	0.1754508214293551	0.39322200899137244	0.20266287065255287	9.1E-4	9.099999999999998E-4	-147408.2532487883	0.0	-10331.930483695613
800000	-157721.50885648077	-10306.514970615783	-147414.993885865	2.5794629273866296	2019.9053544242115	443.12319482214167	2.3563312463230517	1.91830757650349	2.454180438736105	2020.1284861052752	2020.030636912862	2020.5665097750946	25.639417490971145	0.29568866057225623	5.859278008387854	0.25853794934101654	0.17322781623977823	0.1758831257594065	0.39235110865980116	0.20819183274683337	9.1E-4	9.099999999999996E-4	-147414.993885865	0.0	-10310.186354346166
900000	-157728.6744155023	-10316.162608033997	-147412.51180746828	2.5685757529616455	2019.9162415986366	443.7892192503441	2.343936910513766	1.953362527017715	2.4114651792392277	2020.1408804410844	2020.073352172359	2020.5314548245804	24.79223310356499	0.24751001452085142	5.50191399773707	0.2557726996140702	0.1731783931316522	0.17332922992022354	0.3977196773340566	0.20965801000266046	9.1E-4	9.099999999999954E-4	-147412.51180746828	0.0	-10322.23862990719
1000000	-157716.93464202998	-10356.093744824291	-147360.8408972057	2.5849875536898512	2019.8998297979083	445.616305775952	2.3650336039493394	1.9361135606018736	2.428286952898859	2020.1197837476489	2020.0565303986994	2020.5487037909963	25.844990251800827	0.2651839724788883	5.727893835682268	0.25623047834869306	0.17307849553862925	0.17367969627786495	0.3970113298348153	0.20568354136762138	9.1E-4	9.099999999999958E-4	-147360.8408972057	0.0	-10358.25251604235
