# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Dec 07 22:16:44 GMT 2022 [seed=1123589008]
# -beagle_GPU -beagle_order 4 -seed 1123589008 -save_every 10000000 -save_stem 2022-11-17_exponential_fixed_discrete.xml_run9008 2022-11-17_exponential_fixed_discrete.xml
state	joint	prior	likelihood	Location.clock.rate	Location.meanRate	Current Tree	Location.rates.Baja California.Los Angeles	Location.rates.Baja California.Mexico	Location.rates.Baja California.Rest of World	Location.rates.Baja California.San Diego	Location.rates.Baja California.United States	Location.rates.Los Angeles.Mexico	Location.rates.Los Angeles.Rest of World	Location.rates.Los Angeles.San Diego	Location.rates.Los Angeles.United States	Location.rates.Mexico.Rest of World	Location.rates.Mexico.San Diego	Location.rates.Mexico.United States	Location.rates.Rest of World.San Diego	Location.rates.Rest of World.United States	Location.rates.San Diego.United States	Location.indicators.Baja California.Los Angeles	Location.indicators.Baja California.Mexico	Location.indicators.Baja California.Rest of World	Location.indicators.Baja California.San Diego	Location.indicators.Baja California.United States	Location.indicators.Los Angeles.Mexico	Location.indicators.Los Angeles.Rest of World	Location.indicators.Los Angeles.San Diego	Location.indicators.Los Angeles.United States	Location.indicators.Mexico.Rest of World	Location.indicators.Mexico.San Diego	Location.indicators.Mexico.United States	Location.indicators.Rest of World.San Diego	Location.indicators.Rest of World.United States	Location.indicators.San Diego.United States	Location.nonZeroRates	Location.branchRates	c_allTransitions[1]
0	-5290.272484485382	-438.854931047878	-4851.417553437504	1.0	1.0	1598.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1235.0
500	-5005.844207233614	-681.4841108053515	-4324.360096428262	1.5529548705799767	1.5529548705799672	795.0	1.3559302972273002	1.8289664633325506	0.4291633365471215	3.9973546690275676	1.3930291763160325	0.8650878184236886	1.1988337761036565	6.160616170522147	4.461060314566268	0.6529863086076668	1.5534603279538715	1.1601165529708073	1.907816300145382	1.298723162104325	4.71363043459899	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1370.0
1000	-5033.971825188182	-690.0724094284761	-4343.899415759706	1.6015824319841123	1.6015824319841099	2103.0	1.6906750925683196	1.9456174645079138	0.24351574583930083	3.1327668353310636	1.201134770212765	1.0970344668908714	0.8189104284493598	4.660999890535557	3.9943877658594396	0.270211202892658	2.0610079988327934	0.9939025852179059	2.0807790999780327	0.8081860981556283	4.8815209209483985	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1374.0
1500	-5008.868088179159	-695.0649683734168	-4313.8031198057415	1.5865965564746376	1.5865965564746347	712.0	1.6091670529587998	2.385669961307972	0.6075115943283783	3.45496718017458	0.984115959557804	0.980356589352114	1.3498953445750195	4.130002351050083	3.551534208695514	0.2618439226089728	1.6832961722408755	0.8931679335105367	1.6490979967284236	0.8092506806434953	3.257356604645195	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1349.0
2000	-5044.205046226431	-715.9533072770591	-4328.251738949371	1.6485569386512697	1.6485569386512777	1005.0	1.700633488322246	1.9028612236423992	0.3660569097648078	4.647869677874762	0.8392777868595477	0.8728090151939948	1.7420242399446086	5.117360147096305	4.718387441765262	0.5641332104393902	2.4743791430748505	1.205734852348989	1.0396079892828731	1.723845288616471	4.480400478218047	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1373.0
2500	-5025.993757044185	-681.2946012225258	-4344.69915582166	1.5772429095113665	1.5772429095113618	845.0	0.9788134636935104	1.913709282645759	0.4224803743348243	3.929891787048498	0.9574120787307528	1.0086986337817487	0.6226133156604132	5.027418338755868	4.310673385529087	0.5898127981342941	1.2333905430693697	1.2787501166176474	1.3081090299609244	1.2399356342340546	4.524682115473074	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1396.0
3000	-5030.54495763681	-681.8869484553109	-4348.658009181499	1.5781683540572777	1.5781683540572806	90.0	1.240832758870114	2.26850597263886	0.6135005700537393	4.17410627680862	1.558577749874251	0.8345815765099732	1.1150988769132468	4.031524250722643	3.9526946728097982	0.5584967210648908	1.3597160627541727	0.7125476425650091	1.3531112117180675	1.0856937179118973	4.075918496912689	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1384.0
3500	-5023.530390268902	-694.1513916048826	-4329.3789986640195	1.6072167356216847	1.6072167356216844	719.0	1.192954860172572	2.4877293130791878	0.494920528912936	3.0623232450863114	1.0958891930244303	0.8535764376918755	1.0058552147721536	4.179763051507179	3.5746494615608198	0.7503178545096973	1.1168471633644177	1.1029683113536475	0.9556163796708652	1.8635335362127134	3.9170252052355368	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1381.0
4000	-5008.397482190085	-701.7463014406936	-4306.651180749391	1.6330799267505143	1.6330799267505254	57.0	1.201567889924866	2.130812348332061	0.31154150095007765	2.9358216393085774	1.2989579299878848	0.8272342100619504	0.851254927196365	3.607014513665619	3.255640883826007	0.40545072663161885	1.1997252757996852	0.7957182789126704	1.2322326847311804	1.2559554266290465	3.5645372356676868	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1388.0
4500	-5055.0519536279935	-696.6758174568901	-4358.376136171103	1.6254500380990278	1.6254500380990298	584.0	0.7967481523027019	1.9725669077648058	0.307960424916446	2.679767059624928	0.897332955638405	0.45323806837331243	0.5482566266107227	3.4923814842148286	2.752856429315629	0.2880117927207816	1.6987697561934176	0.6659853427383233	0.6859549749340834	1.3846932567306773	3.0122945518834516	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1391.0
5000	-4970.333816819113	-674.8936911964475	-4295.440125622666	1.559838441840896	1.5598384418408966	108.0	1.0448761655645267	1.7275781656656766	0.32478178717755624	2.199489562636353	0.7417797535875315	0.48859209201841725	0.5883388332755302	2.967100036433576	2.587475907414388	0.3248569329104194	1.3858098643482668	0.5255922845360886	0.885620168399213	1.1690253079645003	3.0999877312009954	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1325.0
5500	-5000.655744130581	-687.235546989295	-4313.420197141287	1.596130490497753	1.596130490497743	1974.0	0.6789663079013665	1.5585088663563202	0.18991708247391031	3.0856091681246975	0.6356707176121152	0.5052046306257632	0.7400626667594881	4.802085769373314	3.0998951662045306	0.6015195767527335	1.238843824426674	0.6554160635693973	1.1383272742996942	1.3808619131258064	3.569163386107762	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1352.0
6000	-5013.969785718962	-720.9835236308204	-4292.986262088141	1.6721561483322114	1.672156148332204	63.0	1.2753134542663396	2.126379933542672	0.6174889144755346	3.1053562292136876	1.2380621628896178	0.8483162050316984	0.9276336023483559	5.350242724928793	3.5629773754605925	0.39753191204359095	1.1972796370067935	0.936510123048339	1.960925423302116	1.1755667025148187	4.374240570039565	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1386.0
6500	-5015.327541033509	-668.5543232185862	-4346.773217814923	1.5186648263861773	1.5186648263861713	2035.0	1.3160780158907686	2.064075928377209	0.2820054779470681	3.1560329895112775	1.22805087595096	0.632981938838081	1.4133054666186005	4.1430665465827525	4.357979843780565	0.49543304900506435	1.194282561616385	0.7285606956596516	0.8361740702693483	1.6559110951063338	4.5960994788758605	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1399.0
7000	-4984.689253999865	-648.6905692121508	-4335.998684787714	1.5311676310839466	1.5311676310839488	1585.0	0.9453078755325127	1.4071058361503235	0.18118521115310562	3.3554857365524935	0.822852599163464	0.33986469412705395	1.142479944162211	4.6495684172997995	3.020723227668551	0.4410911222799	1.2818405090140097	0.5993014895434385	0.878479874063795	0.9643400217240662	3.2386441013826746	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1386.0
7500	-5038.436182350551	-715.7309910883602	-4322.70519126219	1.660740702342344	1.6607407023423402	1066.0	0.8582035873533091	1.7172748063987031	0.1673145625890366	2.531112195266201	0.47760397653105346	0.5470748599583486	0.5944756580143779	2.7768593035155815	1.8326169026943033	0.31241754064560723	0.9935524292829772	0.474119661557064	1.09388850733888	0.6937199552502459	3.2588118698291724	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1389.0
8000	-4998.27515653127	-679.6638606008385	-4318.611295930432	1.5908293762601422	1.590829376260142	1123.0	1.2768463157059466	1.610855606396724	0.333260606146758	2.8110733957152716	0.8587129671188055	0.6502167689810124	0.6747985626185115	3.0816783934680543	3.0355280592238723	0.38338553896711186	1.2851824518682784	0.5361601599473419	1.3010591362603394	1.0124809030997206	3.437036719416918	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1364.0
8500	-4967.270644914711	-703.7619121407024	-4263.508732774008	1.602754305330996	1.6027543053309903	271.0	1.3400186741848323	3.170954680019713	0.1521838224348933	4.6988788830288835	1.2806165427106002	0.7901885324430252	0.6248189378750184	5.757117711146158	4.6733239644477695	0.7239211612254662	1.5686606103411869	1.1800438165390084	1.4340235807535568	1.5485332744390328	5.515586488755283	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1391.0
9000	-4968.331004028144	-750.3576719707843	-4217.97333205736	1.7256230107081991	1.7256230107081996	373.0	1.2920537643304444	1.9785728278748869	0.5220112136284646	3.9757558306752534	0.9655612272499646	0.5382021365917251	1.3404957552367804	4.754136926918391	3.7669264347122224	0.6700538097183731	2.3121099640849976	0.6525397136792654	1.7728946793687546	1.258172285168355	5.16956560873262	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1433.0
9500	-5012.0376871886965	-689.5747950680728	-4322.462892120624	1.6147085826949206	1.6147085826949181	1848.0	0.6007841916657402	1.2736834038845164	0.2543429326919211	3.2431877886104994	0.8274300945344651	0.44743742935483594	0.4828812046422481	4.741819761311365	2.466462580750567	0.5250256913958289	1.1490426112042176	0.5691223014440916	1.2535163582903508	0.9021643005258813	3.2200135393184897	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1419.0
10000	-5021.486445747856	-698.191149880589	-4323.295295867267	1.6044842561634924	1.6044842561634869	1796.0	0.6985740699367752	1.5997764657313114	0.24530101043399383	2.949294777423845	0.765475191718129	0.5425727065635464	0.580020048988538	3.51089907438944	2.72359633951079	0.3157211707831696	1.4668932071967116	0.4468491270999766	0.8611349102095864	1.1091368893147522	3.121674078006119	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1364.0
10500	-4994.687320919663	-673.81576958781	-4320.871551331853	1.5614106899702045	1.5614106899702085	553.0	0.6866743663329575	1.655547670541183	0.44871870800040786	3.2053790422464665	0.8007819921021534	0.7110218045316817	0.7396752236934929	4.319917531643458	2.8377964297357923	0.467744714743356	1.3379366714766754	0.6567792640656838	1.0733975936189208	0.9294928916911203	3.5669904450215815	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1382.0
11000	-5026.343600336225	-688.8133361975188	-4337.530264138706	1.5889269034807514	1.5889269034807516	1661.0	0.9855416994603483	1.6233298857543457	0.22552177279079885	2.079519991282941	0.21336875384703824	0.3925126433163985	0.8098231723576526	2.927138487786512	1.695111861657814	0.22295537426603126	0.8181490875291714	0.838751947380409	0.540613201922044	0.7642520305400073	2.2942323087978194	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1379.0
11500	-4958.799181060808	-729.5047822766119	-4229.294398784196	1.6879743448674187	1.6879743448674178	175.0	0.9204484304442629	1.4834782170324037	0.1499228331047283	2.388765187916947	0.6930124895183098	0.37287251273371325	0.682850201960882	4.0945483170978	2.7279780338251864	0.4412715451367749	1.3706923441064556	0.661273630601602	0.8833326796767259	0.8340062445962918	3.149237849033807	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1398.0
12000	-4962.6724645848935	-680.4305017783471	-4282.241962806546	1.5683717200855734	1.5683717200855758	1332.0	0.9781369664973846	1.4448695486005703	0.17374297595658605	2.8861036748318267	0.5930829890795439	0.3908451436625863	0.8475909159117281	3.791104457014752	2.291609807249719	0.521977097241961	1.5868866526307384	0.558633626634971	1.232694837430939	0.7857219689119838	4.039503027526883	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1380.0
12500	-5010.389347167669	-724.8047931225144	-4285.584554045155	1.7033884315300747	1.7033884315300936	1687.0	0.8213144962928908	1.072156476359335	0.12282845098895682	2.174764809458349	0.6644341237988562	0.7254708839281202	0.49477299311020656	2.633296955265424	2.136581932244208	0.31759841919040843	0.9957017116726176	0.37212816946781874	0.5592855704972916	0.6176770991197864	2.680519776579171	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1470.0
13000	-5025.591918863617	-661.9094649192202	-4363.682453944397	1.5279173923779754	1.5279173923779648	191.0	0.9846104772997721	1.3209746209465836	0.23216747790475456	2.0671763056936188	0.44789543494944817	0.5049025968409679	0.5745798815815546	2.6559396860814224	1.9962718136338546	0.34560480777663255	0.8852399264708831	0.5250301841957392	0.5567508109227794	0.5829274849983871	2.350879412561519	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1390.0
13500	-4987.646007224339	-721.7434654544927	-4265.902541769846	1.6735226271244332	1.673522627124424	815.0	0.5291728907389764	0.9081357101100803	0.4636164078702103	1.7009380004510204	0.5413783495614485	0.4441162180519543	0.5456713334777914	2.6917505820285057	1.9889283983172745	0.2640575890193381	0.868434557655922	0.39342879115505447	0.4306682243343528	0.8095060861723434	2.262031431029972	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1389.0
14000	-4993.095317331137	-697.6825358307276	-4295.412781500409	1.6260883025685886	1.6260883025685944	2167.0	0.7730086668736637	1.3282331491823713	0.3024592391354993	2.463602376005413	0.35300245342504477	0.3129640736784551	0.5548843668655354	3.2399743277465114	2.0404553982575218	0.5369329127764367	0.8440959169153384	0.41459384566169805	1.0489629566709153	0.7554623342312019	2.7735410928466013	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1378.0
14500	-5002.36513823401	-665.6161950112701	-4336.74894322274	1.5557985490159947	1.5557985490159951	1140.0	0.818309462341618	1.5364035972675028	0.2545958912271552	2.356344124295874	0.8578173398130992	0.5679718272029083	0.764441128384623	3.5860890659628395	2.3010491098816757	0.2727197842565378	1.2463338265104449	0.5208971804633317	1.3616110853646528	0.5792307042497101	3.6377018055140833	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1421.0
15000	-5000.691321799811	-702.2647229702546	-4298.4265988295565	1.6238179985246	1.6238179985246053	619.0	1.3287927113206086	1.4193175339992234	0.21565761788722898	2.819175675376493	0.6986114794162597	0.8764689663161527	0.8835176933143329	3.931960901727861	2.9621815052991716	0.29238977878112316	1.1979532579985652	1.136109045589438	0.7885043171932494	0.9472890957187571	3.7120542183720917	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1382.0
15500	-5000.940015457771	-707.0330019683141	-4293.907013489456	1.6220293199905405	1.6220293199905427	1868.0	1.0621378198737668	1.8331511622713288	0.3433607201511883	2.7460727401250664	0.7505168408381636	0.7563076270274968	1.0876727475468477	3.468887842179711	2.901714224744086	0.4600162313506097	0.9132398551186923	0.6327002672133645	1.0635319404497816	1.0010092430275876	3.064577842164558	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1357.0
16000	-4975.837457152445	-694.2674895293868	-4281.569967623058	1.6077818567354476	1.6077818567354545	724.0	0.4640667277495802	1.1635602916820795	0.13990002647959607	2.500184227146172	0.5930836183370377	0.47874279383340285	0.2640765161771148	3.172145474426124	2.4334731432045045	0.30297291232693413	0.925665092527737	0.7724444007677574	0.927088759971584	1.146581666329175	3.2385982892334706	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1438.0
16500	-4988.0517210341495	-720.4540441139433	-4267.597676920206	1.6792603967632354	1.6792603967632374	1795.0	0.5675412900205616	1.3269153381820211	0.22944912039130885	1.7666527323128307	0.3411309923073186	0.34487360634852693	0.5070532264064895	2.165727454244695	2.1048889980080134	0.35749573894016784	0.5828346392532984	0.29843943750801405	0.5442188300864482	0.7431252056720178	2.046743315261151	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1376.0
17000	-4974.759121825306	-704.2052303648876	-4270.553891460418	1.6418197113290807	1.6418197113290758	197.0	0.5779800960238071	1.0883326724871143	0.3053873589873229	1.5633356776441403	0.6060931401994565	0.319926724425232	0.5336386404537835	2.3000871244179746	1.6155927486600745	0.41569336377460203	0.6574209118176411	0.4547099912454957	0.7133310490698458	0.6449558159711932	2.1515484767208037	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0	0.0	1385.0
