# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Sep 19 17:51:44 GMT 2022 [seed=11235811932]
# -beagle_GPU -beagle_order 4 -seed 11235811932 -save_every 10000000 -save_stem 2022-09-08_exponential_fixed_discrete.xml_run11932 2022-09-08_exponential_fixed_discrete.xml
state	joint	prior	likelihood	Location.clock.rate	Location.meanRate	Current Tree	Location.rates.Baja California.Los Angeles	Location.rates.Baja California.Mexico	Location.rates.Baja California.Rest of World	Location.rates.Baja California.San Diego	Location.rates.Baja California.United States	Location.rates.Los Angeles.Mexico	Location.rates.Los Angeles.Rest of World	Location.rates.Los Angeles.San Diego	Location.rates.Los Angeles.United States	Location.rates.Mexico.Rest of World	Location.rates.Mexico.San Diego	Location.rates.Mexico.United States	Location.rates.Rest of World.San Diego	Location.rates.Rest of World.United States	Location.rates.San Diego.United States	Location.indicators.Baja California.Los Angeles	Location.indicators.Baja California.Mexico	Location.indicators.Baja California.Rest of World	Location.indicators.Baja California.San Diego	Location.indicators.Baja California.United States	Location.indicators.Los Angeles.Mexico	Location.indicators.Los Angeles.Rest of World	Location.indicators.Los Angeles.San Diego	Location.indicators.Los Angeles.United States	Location.indicators.Mexico.Rest of World	Location.indicators.Mexico.San Diego	Location.indicators.Mexico.United States	Location.indicators.Rest of World.San Diego	Location.indicators.Rest of World.United States	Location.indicators.San Diego.United States	Location.nonZeroRates	Location.branchRates	c_allTransitions[1]
0	-5304.299264224189	-464.2184923388992	-4840.080771885289	1.0	1.0	557.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1256.0
500	-5019.3636991157755	-686.8737560013494	-4332.489943114426	1.4480305177825075	1.4480305177825081	556.0	1.7421785593174637	2.8235619881735454	2.1448692699492278	3.355962118928242	1.6519880713140975	0.5176165638433206	1.1629463811635217	6.127631190860246	4.775666601589487	0.8545437470428578	1.4944261031052395	1.384428648153585	0.9343294018904754	2.3979459628164475	4.846711577435931	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0	0.0	1373.0
1000	-5024.5757179737075	-726.6955543466214	-4297.880163627086	1.53789891529609	1.5378989152960985	615.0	2.4783555856929076	3.0533265862459227	2.737142889772704	3.7916025233797206	1.6184535657476802	0.9886516590047331	1.8151856854224269	6.513868429540985	5.5575902112076445	0.26714016322793704	1.3191638713449905	1.49366984395644	1.2333294428274386	1.6266773514531656	6.384219285382249	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0	0.0	1409.0
1500	-5005.99863530029	-706.6139850674873	-4299.384650232802	1.5221582216293157	1.5221582216293033	550.0	2.012185976824696	2.09932865200951	1.088480411030325	3.333244699250747	1.5413664583045767	0.6603887694530812	1.2093992296597251	4.731562645631339	5.374614314802133	0.5497571618266462	1.8278832326550671	1.2538918752897534	1.080744887043756	1.9332850349247908	5.3890090652279845	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1382.0
2000	-5081.1179682982765	-696.0258377243213	-4385.092130573955	1.4829833235006096	1.4829833235006042	917.0	1.896251342029169	2.557976812975106	0.7760772314644241	4.023062494508733	1.3194919699315382	0.6511534732252297	0.9600081744140708	6.271696132812558	5.518945390558233	0.4761617794949406	0.9770234156709414	1.6126172685517888	1.1292316406906822	2.225106279246002	6.1555842641871	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1407.0
2500	-4995.713484938394	-685.0466183196852	-4310.666866618709	1.448711983816642	1.4487119838166356	260.0	1.1298613022890958	3.0203847482398603	0.2724138864539041	4.280739775722306	1.4830910639164467	0.8785562081449336	1.0525016322236118	5.555181772183131	6.3166791350547955	0.5074360628632457	0.9645953884661425	1.4298717908066971	1.0297704609592326	2.3604128075540314	5.102010757325489	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1367.0
3000	-5029.07861008705	-651.0709855912295	-4378.007624495821	1.3832469459786287	1.3832469459786327	530.0	1.4900859134536328	2.6701952534191413	0.15244171759463682	3.0804469784938098	1.1609208997647646	0.8794018672401657	0.8079611153160535	5.337228475548452	4.327999218861466	0.5530166994326243	0.7663266041589277	0.8717983785253188	0.75658088446771	1.971609198064609	4.11068074462083	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1383.0
3500	-4991.932905235906	-673.0633226442081	-4318.869582591698	1.4474143092869916	1.447414309286987	361.0	1.0867405315089473	1.6591513676214902	0.10427036964914689	2.651546153567877	0.6907549368924847	0.37280962883247165	0.6852239503896815	3.838139891861327	3.6748701491588793	0.16152161322879954	0.698387940114062	0.766389566717547	0.8288361010462999	0.9679737358225864	3.129503584206544	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1401.0
4000	-5029.147841894795	-720.2601962423055	-4308.88764565249	1.5349195209913387	1.53491952099134	730.0	0.7048916306825765	1.590535228545821	0.03336570034474386	2.154610647142914	1.222409626230385	0.5863698080410255	0.5495290845549656	2.3946666250048714	2.7246851829829333	0.2074523029924129	0.7426719854178844	0.8779184438347146	0.39723919751159226	1.59391686800588	3.476755659956971	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1392.0
4500	-5042.767159685522	-687.7527678123917	-4355.01439187313	1.445518605109665	1.4455186051096673	866.0	1.6432232237570015	2.3982730443076705	0.02692671197454031	2.583839284926839	1.242676042597301	0.527158113139786	0.8933602081002795	3.5940426278053295	3.8774214404489245	0.3297209198750467	0.6658914960541831	1.1877101492328175	1.057177174222168	1.1628289337335695	3.855063409907681	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1417.0
