# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Sep 19 17:51:44 GMT 2022 [seed=11235811932]
# -beagle_GPU -beagle_order 4 -seed 11235811932 -save_every 10000000 -save_stem 2022-09-08_exponential_fixed_discrete.xml_run11932 2022-09-08_exponential_fixed_discrete.xml
state	joint	prior	likelihood	Location.clock.rate	Location.meanRate	Current Tree	Location.rates.Baja California.Los Angeles	Location.rates.Baja California.Mexico	Location.rates.Baja California.Rest of World	Location.rates.Baja California.San Diego	Location.rates.Baja California.United States	Location.rates.Los Angeles.Mexico	Location.rates.Los Angeles.Rest of World	Location.rates.Los Angeles.San Diego	Location.rates.Los Angeles.United States	Location.rates.Mexico.Rest of World	Location.rates.Mexico.San Diego	Location.rates.Mexico.United States	Location.rates.Rest of World.San Diego	Location.rates.Rest of World.United States	Location.rates.San Diego.United States	Location.indicators.Baja California.Los Angeles	Location.indicators.Baja California.Mexico	Location.indicators.Baja California.Rest of World	Location.indicators.Baja California.San Diego	Location.indicators.Baja California.United States	Location.indicators.Los Angeles.Mexico	Location.indicators.Los Angeles.Rest of World	Location.indicators.Los Angeles.San Diego	Location.indicators.Los Angeles.United States	Location.indicators.Mexico.Rest of World	Location.indicators.Mexico.San Diego	Location.indicators.Mexico.United States	Location.indicators.Rest of World.San Diego	Location.indicators.Rest of World.United States	Location.indicators.San Diego.United States	Location.nonZeroRates	Location.branchRates	c_allTransitions[1]
5000	-5007.267890490034	-642.1451474175361	-4365.1227430724975	1.3869446230000566	1.3869446230000602	7.0	1.4481707980532665	1.8440634457539853	0.04543445535858153	2.492111145742835	0.7669123939995585	0.5634805294732603	0.5598390769729867	3.951679869465349	3.2908210250100645	0.27414831886531504	0.9553735420589127	0.9333140651409376	0.9955883065171061	1.0798816983059174	3.6451243776763764	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1369.0
5500	-5026.3275283620815	-667.3593732225655	-4358.968155139516	1.445934232960367	1.4459342329603713	543.0	1.3372153324955087	1.815257423662116	0.06908640726686509	2.0281043891150268	0.5921122676802647	0.43293635211457593	0.591001193480118	4.129023529610712	3.187852061584833	0.40687502228733746	0.7252121328749799	0.4333774534254578	0.8449213541603334	1.2892130161546302	2.9555364860225137	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1399.0
6000	-4952.6662490803055	-704.3385289383747	-4248.3277201419305	1.5596244744771468	1.5596244744771388	1025.0	0.7004943460515274	1.4803478502412428	0.12217711954346207	1.9306823901722476	0.8799947834508327	0.7430589052883294	0.7479698813476628	2.679160095860775	2.6431611559633557	0.18873162156845302	0.5189755738234595	0.6682880459271208	0.5432351847074465	1.2237703406511868	2.70145533788252	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1352.0
6500	-4989.009540843785	-685.5014479904074	-4303.508092853377	1.4951251454368684	1.4951251454368697	581.0	1.0800937450106067	1.546147317449965	0.12709396509899246	1.8769979826526733	0.7739359619056784	0.5006469043091502	0.2899650882225715	2.302414383854172	2.60283226420114	0.23986744125713114	0.25367237014267696	0.6640536683814822	0.5968453749517967	0.9095194359271329	2.0773465052528732	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1399.0
7000	-4954.161924359454	-664.690102511463	-4289.471821847991	1.4349964676731022	1.4349964676731122	1006.0	0.7606794251927714	1.1985336573052991	0.1550959891460495	1.411015000246094	0.6126404927799652	0.25997770658029473	0.3131602419670596	2.2797586594820274	2.0064319231065273	0.15162553927775138	0.32556573427512087	0.46670339039214626	0.375755403468816	0.728280848735905	1.9579221462873255	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1372.0
7500	-4992.527113442582	-723.5698612176126	-4268.957252224969	1.571217580649532	1.571217580649531	1379.0	0.9513826303978952	1.2068963382853	0.1321509811994467	1.6032405541205967	0.5219164253391855	0.20018443593816096	0.49376430770641677	2.4722059360084985	2.0286245012461084	0.41868079906658473	0.6329230487260687	0.5183799936487996	0.5558026298903093	0.607154365730078	1.9625772670392898	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1394.0
8000	-5025.995722240134	-659.0063707994375	-4366.989351440696	1.433084212059986	1.4330842120599847	513.0	1.0660067960794395	1.4683211714920128	0.14356342674651382	2.0571399215717396	0.9807926150004848	0.5203409593278738	0.5474924980862831	3.168812711446836	3.0414085165801605	0.3911453674935598	0.5437256278808336	0.6073445572538487	0.6120517571893866	0.8229017954255987	2.4528069111552693	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1418.0
8500	-5058.5975467752705	-643.7196879356109	-4414.87785883966	1.4186735847717977	1.4186735847717962	826.0	0.9322938005575028	1.079262321365218	0.12432771648652999	1.9122607348601368	0.34270351264194004	0.25743445499396433	0.42772734601413676	2.509951275534936	2.1620975656026977	0.3815405014070826	0.4202124832344759	0.4167011423689157	0.5563814486620935	0.896881487591168	2.427257905012118	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1407.0
9000	-5011.15316126651	-682.9513812292614	-4328.201780037249	1.4603283801473328	1.4603283801473357	50.0	1.3448378046918832	2.192338269167818	0.07213629849136233	2.483176146207179	1.240573704240309	0.5811954468154907	0.9247245824713544	4.058337968981886	3.690101305958749	0.29924736919260053	0.786554651307768	0.7310048794700658	0.576011910186275	1.7747953007599477	3.1984178161180568	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1398.0
9500	-4958.3166881575125	-664.0600502760846	-4294.256637881428	1.451356530022838	1.4513565300228275	1058.0	1.0464771875443033	1.2411518259736216	0.03556796746948765	1.2988362411939913	0.7099985658380958	0.53203588511008	0.7536103357708087	2.6357065765429453	3.165286155671525	0.2232693922845849	0.5588321924519145	0.5918762113168333	0.5988886356714325	0.7240887467382691	2.125220810254198	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1328.0
10000	-4986.190678406536	-700.4891499592467	-4285.701528447289	1.5237611630087924	1.523761163008793	950.0	0.8257708855098898	1.1545154585029223	0.058367332351761524	2.2841047155121377	0.5692488156494395	0.48055611038249857	0.5190466023855668	2.5168039566182165	2.9120099039635496	0.21802477734417858	0.5238507079835573	0.42316095703092116	0.3550142286362431	1.122382792398275	2.469624600541116	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1419.0
10500	-5006.8578276961625	-691.8593710108041	-4314.998456685358	1.557286199463954	1.5572861994639535	482.0	0.7230379596915318	1.1872732589729604	0.23290495154733684	1.4157974661404482	0.5590950910314173	0.3305099160654649	0.5356772748830629	2.083152926400164	2.10304133998318	0.09050732559823343	0.3514020774356687	0.5344935635993797	0.390351399001657	0.7720719931392741	2.0121655943758467	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1406.0
11000	-4976.794292202824	-653.3350644161973	-4323.459227786627	1.425947523048563	1.425947523048568	107.0	0.8908647260462444	1.3454897106368175	0.11903107391608124	1.6642205075080272	0.5521478680320226	0.22015576763938402	0.5180778550644264	2.4583228472429504	2.0159315495577843	0.24320490982375367	0.7262348231153873	0.4704789097940853	0.517847617719945	0.975942864806871	2.0134918982980263	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1405.0
11500	-5025.783524586204	-702.1916591173477	-4323.591865468857	1.5250082091837085	1.5250082091837018	1280.0	0.7840576859842066	1.2649876311451291	0.10060346544230697	1.622027292083113	0.8005147408439922	0.38760464716370996	0.6309027398683404	2.4566998500978623	2.7428528947892197	0.25210348979832836	0.5519413045718463	0.6689584438605307	0.6307741004048695	0.9326270670205635	1.938445133147461	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1400.0
12000	-5005.645284919285	-670.5848485095526	-4335.060436409732	1.4355790103463055	1.435579010346304	1279.0	0.843055182993319	1.7197484580248945	0.0874316102552979	2.042553313435758	0.3997510695462516	0.545703564136436	0.6515528781869487	3.526881510276376	2.668714115068574	0.11550556099885842	0.5527750356449701	0.4431688364751554	0.8333588433076599	0.9794694953401074	3.0053732476776536	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1423.0
12500	-5011.766595712414	-711.2206336273496	-4300.545962085064	1.5396020938415165	1.5396020938415205	267.0	0.6834824445503332	1.3508703539377889	0.08767472080295825	1.7699888647558335	0.8917871057432153	0.5101328644822388	0.6248321673697248	2.3308104754513046	2.6318497354169614	0.15915337914377384	0.49544012916480884	0.4632819540499806	0.45997484729692156	0.7561433923921803	2.0379292347570903	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1415.0
13000	-4963.840771258786	-698.88312071985	-4264.957650538936	1.5249085430358964	1.524908543035899	274.0	1.1045064412824577	1.2570478071625475	0.17451892156772567	1.7059513642770199	0.7837249113596586	0.39278548704943606	0.5722547827357621	2.5566852313529487	2.457875444639164	0.1967514031483348	0.37704475436705964	0.6168328078148613	0.7615761138820584	0.6799772553446393	1.9630783045984708	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1378.0
13500	-5001.0524580351275	-705.8813594272731	-4295.171098607854	1.550760606500674	1.5507606065006674	547.0	0.9214394533092977	1.1602602772924189	0.16360260495161674	1.3745787587290252	0.6923742806315457	0.34703856923815524	0.5453484377034113	2.751942536302093	2.058187052968556	0.19486025392498005	0.30610682305753417	0.45087366574113624	0.5715106057576667	0.867741352872621	2.1400872390987327	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1425.0
14000	-4977.670760505195	-659.3837702684084	-4318.286990236787	1.4446829216639474	1.4446829216639474	1240.0	0.7944095356807277	1.3340971212053165	0.08108440757835804	1.8463216411910277	0.537578803720987	0.30038289706691185	0.5276322651072254	2.5249446964622724	2.4368496024420097	0.1604985776705098	0.456016305450435	0.572882538659111	0.5186364029489742	0.6419217302009838	2.1917746810578564	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14.0	0.0	1404.0
14500	-4989.339045803906	-689.7046929253429	-4299.634352878563	1.5359916577738741	1.5359916577738817	548.0	1.0693217194286717	1.3462343475551435	0.09973303381642357	1.9380900657509588	0.567368520221969	0.5549147278262037	0.49435252035607985	2.8747270803374936	2.9031184455270727	0.1590075054125776	0.41050614810401764	0.2863603447245077	0.739778877757741	0.4519738989527316	2.6537046119830894	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1416.0
15000	-5056.403228610324	-714.7843086045862	-4341.618920005738	1.5299725462843354	1.529972546284342	58.0	1.204538202187806	1.7231610513668971	0.21170265898656374	3.106689154251669	1.1531526841267095	0.6985038314413768	0.7638855043127203	5.091111437964158	3.630470033056023	0.4541440646357936	0.8959115892675931	1.1039571422832102	1.2096603884028325	1.3734425016223306	3.9377375162260733	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1391.0
15500	-4975.763099390389	-699.7590557393168	-4276.004043651072	1.506854650113064	1.506854650113066	431.0	1.2975296312610132	2.254464587212796	0.20236215017608103	2.8517202586064583	1.2395960019053363	0.8090141183532445	0.9522240816093516	5.2507926629012385	4.325659167702501	0.37827509491993666	1.3905082051173587	0.8303442930724075	0.8864185714548803	1.3477724062620706	4.044910788976344	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1373.0
16000	-5040.951532917826	-711.4826002140315	-4329.468932703794	1.5277738254937685	1.5277738254937692	164.0	1.8455681588301425	3.427412778590375	0.4670646334630388	3.7259173928628937	1.4570878809295524	1.216321101378976	1.100605667802527	5.93797205320243	5.061439668968701	0.5579805570045686	1.015802861675059	1.2988423491422396	0.7510522682001044	1.9114741870750913	5.870425030556164	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1424.0
16500	-5022.085838187242	-687.113214775608	-4334.972623411634	1.4561389302717282	1.4561389302717247	1254.0	1.650140195503531	2.8375112758192813	0.25784612048711864	2.8036149478346575	1.3597154422009405	0.4257779027936207	0.9685123282253078	4.385901560083811	4.999801707318934	0.36419096413763774	0.9901341430577767	0.8415415831233776	0.758929587863045	1.5541532275372327	4.654651635962019	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1391.0
17000	-5021.827135011123	-719.5210126242588	-4302.3061223868635	1.5492271573919765	1.5492271573919723	300.0	1.376100758418267	2.7689520296476906	0.226237559448945	2.9551543093187305	1.0033279912893638	0.6530052158530207	0.6509861476497815	3.4994010671399893	3.769091676484201	0.4582799183723038	0.4211339958648924	0.7439448390561393	1.2494851332195667	1.4112738602250416	3.70111677984784	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1390.0
17500	-5061.954507625357	-717.6921259531166	-4344.262381672241	1.5436192297899145	1.543619229789902	1126.0	1.6630156638965847	2.8699264663378017	0.4715873961031216	2.8883189516478693	1.2477545454072982	0.8528765552953277	1.3806846920964149	4.905612931794716	4.304222373832713	0.32960914155964766	0.4732203026757577	1.1040215004713572	1.1536122546919074	1.2276319293982438	3.5832604201701304	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1406.0
18000	-5022.787918627127	-686.5522505741754	-4336.235668052951	1.473557991435484	1.473557991435485	465.0	0.9761701875876648	2.635668126577718	0.1272358964274778	3.3623967190604485	0.9561698062648589	0.5852740236310676	0.94402731916618	4.817013539032626	3.9550050088408453	0.2789070530648062	0.7477330555682566	1.2261220467599072	1.0435968034853107	1.800279278846033	3.736095607161258	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1398.0
18500	-5027.746152390876	-681.8982751364732	-4345.847877254403	1.4698958509794182	1.4698958509794207	794.0	1.2507523428353478	2.2749397319037	0.24727115888575954	2.8089059891136845	1.4076984696493766	0.5791906009372779	0.79964234085737	4.201448069472953	4.029988483839168	0.22804328613805483	0.6664931653310016	1.197091278939559	1.0892358168348066	1.6553605496950816	3.90008944086611	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1372.0
19000	-5028.587028897892	-665.9367750177171	-4362.650253880175	1.4462296578058835	1.4462296578058846	262.0	1.495700507878103	2.5604932924781387	0.23294396496825942	3.418106754323336	0.6483397568837825	0.6835832813378203	0.7015647232636257	4.685188229290791	4.088304027734081	0.17142798036518445	0.8948408705717621	0.6362610130995544	1.1526524562102192	1.1952767159604176	4.0198980502734525	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1418.0
19500	-5010.032402314289	-693.028028156816	-4317.004374157474	1.4635323729012293	1.4635323729012344	456.0	1.309253528664381	1.445172865965822	0.10906085769822878	2.7958165703886766	0.8600623378779895	0.4908895829137818	1.1937309795879532	3.3329233610258844	3.4109772366990105	0.2879565304961312	1.0117681688273419	0.6413557196004519	0.7821102051726084	1.303135355448719	3.22704718099081	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1410.0
20000	-5001.3542379552455	-694.7613890517548	-4306.59284890349	1.495204598822438	1.4952045988224314	1068.0	0.7471034299964457	1.6915062333199637	0.15366110880789885	2.509811470091846	0.9013085529470777	0.5525278148140996	0.7336781448053128	3.2753356753314997	3.6525908029893364	0.2780898367302768	0.47915789260135583	1.1679956710022157	0.7192448623095351	1.2349939135371901	2.7689780515507256	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1387.0
20500	-4986.509831855236	-681.558108136793	-4304.951723718444	1.474817123663381	1.4748171236633796	880.0	1.1789782819264223	1.3982573868573904	0.2296126302712227	2.7798646025986087	0.7099361109395403	0.7149918886495542	1.0451361592537167	3.9266293667250762	3.09363317447483	0.20280880364444742	0.5065837635766502	0.6377880919972366	0.344521879962483	1.0605619395206431	2.492063517371604	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1402.0
21000	-5029.65362139841	-666.3673915675196	-4363.28622983089	1.448321268553569	1.4483212685535707	630.0	0.8872314954411695	1.546364271236511	0.2620449539384802	1.8031339947978202	0.648017815609699	0.7830653355835706	0.6544645782833951	3.9998304240375373	2.464541988754966	0.3421596283493129	0.5924220893730394	0.6044275792548642	0.6229362108291845	1.060478092693171	2.8054044268017773	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1424.0
21500	-5027.95315149326	-676.6408193222142	-4351.312332171045	1.4604086595871841	1.4604086595871928	1014.0	1.355322820571161	1.6260238170509809	0.17851227552082824	1.9193712467029398	0.35774033779476694	0.757855628898339	0.47475489112828273	3.4729869441209744	2.81554497070686	0.3489038516305433	0.62244058266235	0.3936078827538056	0.6466165572372731	0.6784271963068216	2.4687192874092516	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1422.0
22000	-5054.741092730825	-708.6972966959275	-4346.043796034897	1.5365900074293397	1.5365900074293353	101.0	1.4432128322530196	1.8645694908959887	0.1054809045299851	2.633922071723947	0.8567349396197161	0.8319248900227609	1.1822423267392634	3.845150621890054	3.183530642829689	0.314912894204148	0.3923546519324313	0.8391052407760787	0.3842698964036944	1.5703758226908975	3.7996840686228994	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1387.0
22500	-4998.562277134593	-710.132722902334	-4288.42955423226	1.5455404735155487	1.5455404735155582	77.0	1.4469580023023774	2.1746008332211644	0.110723064938844	2.5314054451423558	1.4649793972909728	0.8381011305148995	0.760208831304731	3.8181941961155412	3.5523597523148105	0.2699242326802014	0.3415416695467326	0.9737529558317003	0.4609870810447111	1.286883832977635	3.3016710249489707	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1383.0
23000	-5026.8953524527315	-664.6192322025387	-4362.276120250192	1.4287427919556486	1.4287427919556537	323.0	1.2578088744769704	1.904837519484484	0.2041224757239759	2.3424048651710403	1.0789961078422479	0.41009434510604226	0.6798651505062581	3.6425628786175466	2.9572495203796794	0.3746382569887202	0.784298293926213	1.1006564924058333	1.1431615506137756	1.1697414756814557	2.9655978780345515	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1363.0
23500	-4997.752875259071	-652.9614195006191	-4344.791455758452	1.4277883701318068	1.4277883701318062	7.0	0.7800016278841668	1.0171979049234194	0.09996866103885588	2.0238608391704767	0.7612250713159807	0.3530692699135032	0.44175077336330515	2.674471832245898	2.0718474863149554	0.2595447847274874	0.4567152063678835	0.676096818140915	0.643508875073519	0.7879858907650708	2.5016466537279802	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1396.0
24000	-5016.34676313675	-689.1835033250889	-4327.163259811661	1.4951988158410667	1.4951988158410692	678.0	0.7586873762503024	1.2534659413039675	0.1992582754124865	1.6439344747369424	0.5688449489174846	0.3962792624915852	0.5682384986187967	2.3490238424816337	1.9243690590458855	0.13338783649326	0.3559757848424442	0.5591739622887605	0.3807362182719154	0.8205733451822268	1.9347946365751358	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15.0	0.0	1413.0
